=== Found JODA query file, executing JODA queries ===
= File:'NoBench.json' =
0.12.3: Pulling from nicotin/joda
Digest: sha256:6c0c6b4a19967ae02ef348535acdb3eb8496453a8b868763c34370e10be0192f
Status: Image is up to date for nicotin/joda:0.12.3
74b1693bebb10faa46d3e3ea7f0c22b2e3c298d024cf1eb877498e4026ee7835
0
JODA: 35.3079 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'NoBench.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
b48e63ee5ba22dee846fb87a6bbea69f77d123c0b9118ac9685f168921e490a6
2021-11-09T08:50:51.143+0000	connected to: mongodb://localhost/
2021-11-09T08:50:54.143+0000	[........................] benchmark.NoBench	16.8MB/5.73GB (0.3%)
2021-11-09T08:50:57.144+0000	[........................] benchmark.NoBench	31.2MB/5.73GB (0.5%)
2021-11-09T08:51:00.144+0000	[........................] benchmark.NoBench	47.1MB/5.73GB (0.8%)
2021-11-09T08:51:03.148+0000	[........................] benchmark.NoBench	62.5MB/5.73GB (1.1%)
2021-11-09T08:51:06.144+0000	[........................] benchmark.NoBench	77.6MB/5.73GB (1.3%)
2021-11-09T08:51:09.143+0000	[........................] benchmark.NoBench	92.2MB/5.73GB (1.6%)
2021-11-09T08:51:12.143+0000	[........................] benchmark.NoBench	106MB/5.73GB (1.8%)
2021-11-09T08:51:15.144+0000	[........................] benchmark.NoBench	123MB/5.73GB (2.1%)
2021-11-09T08:51:18.144+0000	[........................] benchmark.NoBench	138MB/5.73GB (2.3%)
2021-11-09T08:51:21.143+0000	[........................] benchmark.NoBench	155MB/5.73GB (2.6%)
2021-11-09T08:51:24.143+0000	[........................] benchmark.NoBench	169MB/5.73GB (2.9%)
2021-11-09T08:51:27.145+0000	[........................] benchmark.NoBench	186MB/5.73GB (3.2%)
2021-11-09T08:51:30.143+0000	[........................] benchmark.NoBench	201MB/5.73GB (3.4%)
2021-11-09T08:51:33.145+0000	[........................] benchmark.NoBench	216MB/5.73GB (3.7%)
2021-11-09T08:51:36.143+0000	[........................] benchmark.NoBench	232MB/5.73GB (3.9%)
2021-11-09T08:51:39.144+0000	[#.......................] benchmark.NoBench	247MB/5.73GB (4.2%)
2021-11-09T08:51:42.143+0000	[#.......................] benchmark.NoBench	262MB/5.73GB (4.5%)
2021-11-09T08:51:45.143+0000	[#.......................] benchmark.NoBench	278MB/5.73GB (4.7%)
2021-11-09T08:51:48.144+0000	[#.......................] benchmark.NoBench	293MB/5.73GB (5.0%)
2021-11-09T08:51:51.143+0000	[#.......................] benchmark.NoBench	308MB/5.73GB (5.2%)
2021-11-09T08:51:54.145+0000	[#.......................] benchmark.NoBench	326MB/5.73GB (5.6%)
2021-11-09T08:51:57.144+0000	[#.......................] benchmark.NoBench	340MB/5.73GB (5.8%)
2021-11-09T08:52:00.144+0000	[#.......................] benchmark.NoBench	355MB/5.73GB (6.1%)
2021-11-09T08:52:03.144+0000	[#.......................] benchmark.NoBench	370MB/5.73GB (6.3%)
2021-11-09T08:52:06.143+0000	[#.......................] benchmark.NoBench	385MB/5.73GB (6.6%)
2021-11-09T08:52:09.143+0000	[#.......................] benchmark.NoBench	400MB/5.73GB (6.8%)
2021-11-09T08:52:12.143+0000	[#.......................] benchmark.NoBench	415MB/5.73GB (7.1%)
2021-11-09T08:52:15.145+0000	[#.......................] benchmark.NoBench	430MB/5.73GB (7.3%)
2021-11-09T08:52:18.144+0000	[#.......................] benchmark.NoBench	446MB/5.73GB (7.6%)
2021-11-09T08:52:21.144+0000	[#.......................] benchmark.NoBench	462MB/5.73GB (7.9%)
2021-11-09T08:52:24.144+0000	[#.......................] benchmark.NoBench	477MB/5.73GB (8.1%)
2021-11-09T08:52:27.143+0000	[##......................] benchmark.NoBench	492MB/5.73GB (8.4%)
2021-11-09T08:52:30.143+0000	[##......................] benchmark.NoBench	508MB/5.73GB (8.7%)
2021-11-09T08:52:33.145+0000	[##......................] benchmark.NoBench	524MB/5.73GB (8.9%)
2021-11-09T08:52:36.148+0000	[##......................] benchmark.NoBench	539MB/5.73GB (9.2%)
2021-11-09T08:52:39.143+0000	[##......................] benchmark.NoBench	553MB/5.73GB (9.4%)
2021-11-09T08:52:42.144+0000	[##......................] benchmark.NoBench	569MB/5.73GB (9.7%)
2021-11-09T08:52:45.146+0000	[##......................] benchmark.NoBench	585MB/5.73GB (10.0%)
2021-11-09T08:52:48.143+0000	[##......................] benchmark.NoBench	601MB/5.73GB (10.2%)
2021-11-09T08:52:51.145+0000	[##......................] benchmark.NoBench	618MB/5.73GB (10.5%)
2021-11-09T08:52:54.146+0000	[##......................] benchmark.NoBench	635MB/5.73GB (10.8%)
2021-11-09T08:52:57.146+0000	[##......................] benchmark.NoBench	652MB/5.73GB (11.1%)
2021-11-09T08:53:00.144+0000	[##......................] benchmark.NoBench	667MB/5.73GB (11.4%)
2021-11-09T08:53:03.144+0000	[##......................] benchmark.NoBench	684MB/5.73GB (11.6%)
2021-11-09T08:53:06.144+0000	[##......................] benchmark.NoBench	698MB/5.73GB (11.9%)
2021-11-09T08:53:09.148+0000	[##......................] benchmark.NoBench	714MB/5.73GB (12.2%)
