=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
61e8e4839199bfb91fd62688f375220d3ebf01068237d8f340248a10139de874
0
JODA: 100.227 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
2e45dda4ea3ce5dbc9095477d3335f7bde1ae4335ce8e626e1509e33b85a9073
2021-10-20T01:43:04.782+0000	connected to: mongodb://localhost/
2021-10-20T01:43:07.782+0000	[........................] benchmark.Twitter	47.2MB/49.1GB (0.1%)
2021-10-20T01:43:10.782+0000	[........................] benchmark.Twitter	96.7MB/49.1GB (0.2%)
2021-10-20T01:43:13.783+0000	[........................] benchmark.Twitter	149MB/49.1GB (0.3%)
2021-10-20T01:43:16.782+0000	[........................] benchmark.Twitter	200MB/49.1GB (0.4%)
2021-10-20T01:43:19.783+0000	[........................] benchmark.Twitter	255MB/49.1GB (0.5%)
2021-10-20T01:43:22.782+0000	[........................] benchmark.Twitter	308MB/49.1GB (0.6%)
2021-10-20T01:43:25.782+0000	[........................] benchmark.Twitter	360MB/49.1GB (0.7%)
2021-10-20T01:43:28.782+0000	[........................] benchmark.Twitter	413MB/49.1GB (0.8%)
2021-10-20T01:43:31.783+0000	[........................] benchmark.Twitter	466MB/49.1GB (0.9%)
2021-10-20T01:43:34.783+0000	[........................] benchmark.Twitter	518MB/49.1GB (1.0%)
2021-10-20T01:43:37.782+0000	[........................] benchmark.Twitter	572MB/49.1GB (1.1%)
2021-10-20T01:43:40.782+0000	[........................] benchmark.Twitter	626MB/49.1GB (1.2%)
2021-10-20T01:43:43.782+0000	[........................] benchmark.Twitter	679MB/49.1GB (1.4%)
2021-10-20T01:43:46.782+0000	[........................] benchmark.Twitter	731MB/49.1GB (1.5%)
2021-10-20T01:43:49.783+0000	[........................] benchmark.Twitter	785MB/49.1GB (1.6%)
2021-10-20T01:43:52.783+0000	[........................] benchmark.Twitter	839MB/49.1GB (1.7%)
2021-10-20T01:43:55.782+0000	[........................] benchmark.Twitter	892MB/49.1GB (1.8%)
2021-10-20T01:43:58.782+0000	[........................] benchmark.Twitter	946MB/49.1GB (1.9%)
2021-10-20T01:44:01.782+0000	[........................] benchmark.Twitter	999MB/49.1GB (2.0%)
2021-10-20T01:44:04.783+0000	[........................] benchmark.Twitter	1.03GB/49.1GB (2.1%)
2021-10-20T01:44:07.782+0000	[........................] benchmark.Twitter	1.08GB/49.1GB (2.2%)
2021-10-20T01:44:10.782+0000	[........................] benchmark.Twitter	1.14GB/49.1GB (2.3%)
2021-10-20T01:44:13.782+0000	[........................] benchmark.Twitter	1.19GB/49.1GB (2.4%)
2021-10-20T01:44:16.782+0000	[........................] benchmark.Twitter	1.24GB/49.1GB (2.5%)
2021-10-20T01:44:19.782+0000	[........................] benchmark.Twitter	1.29GB/49.1GB (2.6%)
2021-10-20T01:44:22.783+0000	[........................] benchmark.Twitter	1.34GB/49.1GB (2.7%)
2021-10-20T01:44:25.782+0000	[........................] benchmark.Twitter	1.39GB/49.1GB (2.8%)
2021-10-20T01:44:28.782+0000	[........................] benchmark.Twitter	1.44GB/49.1GB (2.9%)
2021-10-20T01:44:31.782+0000	[........................] benchmark.Twitter	1.49GB/49.1GB (3.0%)
2021-10-20T01:44:34.782+0000	[........................] benchmark.Twitter	1.55GB/49.1GB (3.1%)
2021-10-20T01:44:37.782+0000	[........................] benchmark.Twitter	1.60GB/49.1GB (3.3%)
2021-10-20T01:44:40.782+0000	[........................] benchmark.Twitter	1.65GB/49.1GB (3.4%)
2021-10-20T01:44:43.782+0000	[........................] benchmark.Twitter	1.70GB/49.1GB (3.5%)
