=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
7c6442aff302ecccdc5f84cf14fef4c51e68fd1c766592126e34599fa12c83b9
0
JODA: 124.013 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
8402005c4e4061bd1637c07ddb9229c7eeda2add5b634f2dd54a3564846b300f
2021-10-24T01:46:50.591+0000	connected to: mongodb://localhost/
2021-10-24T01:46:53.591+0000	[........................] benchmark.Twitter	46.4MB/49.1GB (0.1%)
2021-10-24T01:46:56.591+0000	[........................] benchmark.Twitter	94.0MB/49.1GB (0.2%)
2021-10-24T01:46:59.592+0000	[........................] benchmark.Twitter	146MB/49.1GB (0.3%)
2021-10-24T01:47:02.591+0000	[........................] benchmark.Twitter	199MB/49.1GB (0.4%)
2021-10-24T01:47:05.592+0000	[........................] benchmark.Twitter	252MB/49.1GB (0.5%)
2021-10-24T01:47:08.592+0000	[........................] benchmark.Twitter	306MB/49.1GB (0.6%)
2021-10-24T01:47:11.592+0000	[........................] benchmark.Twitter	359MB/49.1GB (0.7%)
2021-10-24T01:47:14.592+0000	[........................] benchmark.Twitter	411MB/49.1GB (0.8%)
2021-10-24T01:47:17.592+0000	[........................] benchmark.Twitter	465MB/49.1GB (0.9%)
2021-10-24T01:47:20.591+0000	[........................] benchmark.Twitter	518MB/49.1GB (1.0%)
2021-10-24T01:47:23.591+0000	[........................] benchmark.Twitter	572MB/49.1GB (1.1%)
2021-10-24T01:47:26.592+0000	[........................] benchmark.Twitter	627MB/49.1GB (1.2%)
2021-10-24T01:47:29.592+0000	[........................] benchmark.Twitter	679MB/49.1GB (1.3%)
2021-10-24T01:47:32.592+0000	[........................] benchmark.Twitter	731MB/49.1GB (1.5%)
2021-10-24T01:47:35.592+0000	[........................] benchmark.Twitter	785MB/49.1GB (1.6%)
2021-10-24T01:47:38.592+0000	[........................] benchmark.Twitter	839MB/49.1GB (1.7%)
2021-10-24T01:47:41.592+0000	[........................] benchmark.Twitter	891MB/49.1GB (1.8%)
2021-10-24T01:47:44.591+0000	[........................] benchmark.Twitter	945MB/49.1GB (1.9%)
2021-10-24T01:47:47.592+0000	[........................] benchmark.Twitter	999MB/49.1GB (2.0%)
2021-10-24T01:47:50.592+0000	[........................] benchmark.Twitter	1.03GB/49.1GB (2.1%)
2021-10-24T01:47:53.592+0000	[........................] benchmark.Twitter	1.08GB/49.1GB (2.2%)
2021-10-24T01:47:56.591+0000	[........................] benchmark.Twitter	1.13GB/49.1GB (2.3%)
2021-10-24T01:47:59.592+0000	[........................] benchmark.Twitter	1.18GB/49.1GB (2.4%)
2021-10-24T01:48:02.591+0000	[........................] benchmark.Twitter	1.24GB/49.1GB (2.5%)
2021-10-24T01:48:05.591+0000	[........................] benchmark.Twitter	1.29GB/49.1GB (2.6%)
2021-10-24T01:48:08.592+0000	[........................] benchmark.Twitter	1.34GB/49.1GB (2.7%)
2021-10-24T01:48:11.592+0000	[........................] benchmark.Twitter	1.39GB/49.1GB (2.8%)
2021-10-24T01:48:14.592+0000	[........................] benchmark.Twitter	1.44GB/49.1GB (2.9%)
2021-10-24T01:48:17.591+0000	[........................] benchmark.Twitter	1.49GB/49.1GB (3.0%)
2021-10-24T01:48:20.592+0000	[........................] benchmark.Twitter	1.54GB/49.1GB (3.1%)
