=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
90f0594ca002cdcb94fc15ced43b0209f01f6af9b4fbbbfbb92cfaac02278bdf
0
JODA: 112.354 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
ee81a48af22282d61afa679464b3658ca14d060d2893e9590bb5207085585c16
2021-10-20T05:15:37.672+0000	connected to: mongodb://localhost/
2021-10-20T05:15:40.673+0000	[........................] benchmark.Twitter	42.0MB/49.1GB (0.1%)
2021-10-20T05:15:43.672+0000	[........................] benchmark.Twitter	85.4MB/49.1GB (0.2%)
2021-10-20T05:15:46.672+0000	[........................] benchmark.Twitter	134MB/49.1GB (0.3%)
2021-10-20T05:15:49.672+0000	[........................] benchmark.Twitter	181MB/49.1GB (0.4%)
2021-10-20T05:15:52.673+0000	[........................] benchmark.Twitter	229MB/49.1GB (0.5%)
2021-10-20T05:15:55.672+0000	[........................] benchmark.Twitter	276MB/49.1GB (0.5%)
2021-10-20T05:15:58.673+0000	[........................] benchmark.Twitter	324MB/49.1GB (0.6%)
2021-10-20T05:16:01.672+0000	[........................] benchmark.Twitter	372MB/49.1GB (0.7%)
2021-10-20T05:16:04.672+0000	[........................] benchmark.Twitter	420MB/49.1GB (0.8%)
2021-10-20T05:16:07.673+0000	[........................] benchmark.Twitter	469MB/49.1GB (0.9%)
2021-10-20T05:16:10.672+0000	[........................] benchmark.Twitter	518MB/49.1GB (1.0%)
2021-10-20T05:16:13.672+0000	[........................] benchmark.Twitter	566MB/49.1GB (1.1%)
2021-10-20T05:16:16.673+0000	[........................] benchmark.Twitter	615MB/49.1GB (1.2%)
2021-10-20T05:16:19.673+0000	[........................] benchmark.Twitter	665MB/49.1GB (1.3%)
2021-10-20T05:16:22.672+0000	[........................] benchmark.Twitter	714MB/49.1GB (1.4%)
2021-10-20T05:16:25.672+0000	[........................] benchmark.Twitter	762MB/49.1GB (1.5%)
2021-10-20T05:16:28.673+0000	[........................] benchmark.Twitter	810MB/49.1GB (1.6%)
2021-10-20T05:16:31.672+0000	[........................] benchmark.Twitter	859MB/49.1GB (1.7%)
2021-10-20T05:16:34.672+0000	[........................] benchmark.Twitter	905MB/49.1GB (1.8%)
2021-10-20T05:16:37.672+0000	[........................] benchmark.Twitter	957MB/49.1GB (1.9%)
2021-10-20T05:16:40.672+0000	[........................] benchmark.Twitter	1013MB/49.1GB (2.0%)
2021-10-20T05:16:43.672+0000	[........................] benchmark.Twitter	1.04GB/49.1GB (2.1%)
2021-10-20T05:16:46.672+0000	[........................] benchmark.Twitter	1.09GB/49.1GB (2.2%)
2021-10-20T05:16:49.672+0000	[........................] benchmark.Twitter	1.14GB/49.1GB (2.3%)
2021-10-20T05:16:52.672+0000	[........................] benchmark.Twitter	1.19GB/49.1GB (2.4%)
2021-10-20T05:16:55.672+0000	[........................] benchmark.Twitter	1.24GB/49.1GB (2.5%)
2021-10-20T05:16:58.672+0000	[........................] benchmark.Twitter	1.29GB/49.1GB (2.6%)
2021-10-20T05:17:01.673+0000	[........................] benchmark.Twitter	1.34GB/49.1GB (2.7%)
2021-10-20T05:17:04.672+0000	[........................] benchmark.Twitter	1.39GB/49.1GB (2.8%)
2021-10-20T05:17:07.672+0000	[........................] benchmark.Twitter	1.45GB/49.1GB (2.9%)
2021-10-20T05:17:10.672+0000	[........................] benchmark.Twitter	1.49GB/49.1GB (3.0%)
2021-10-20T05:17:13.672+0000	[........................] benchmark.Twitter	1.54GB/49.1GB (3.1%)
2021-10-20T05:17:16.672+0000	[........................] benchmark.Twitter	1.58GB/49.1GB (3.2%)
2021-10-20T05:17:19.673+0000	[........................] benchmark.Twitter	1.63GB/49.1GB (3.3%)
2021-10-20T05:17:22.672+0000	[........................] benchmark.Twitter	1.68GB/49.1GB (3.4%)
2021-10-20T05:17:25.673+0000	[........................] benchmark.Twitter	1.73GB/49.1GB (3.5%)
2021-10-20T05:17:28.672+0000	[........................] benchmark.Twitter	1.78GB/49.1GB (3.6%)
2021-10-20T05:17:31.672+0000	[........................] benchmark.Twitter	1.83GB/49.1GB (3.7%)
2021-10-20T05:17:34.672+0000	[........................] benchmark.Twitter	1.88GB/49.1GB (3.8%)
2021-10-20T05:17:37.672+0000	[........................] benchmark.Twitter	1.92GB/49.1GB (3.9%)
2021-10-20T05:17:40.672+0000	[........................] benchmark.Twitter	1.97GB/49.1GB (4.0%)
2021-10-20T05:17:43.672+0000	[........................] benchmark.Twitter	2.02GB/49.1GB (4.1%)
2021-10-20T05:17:46.673+0000	[#.......................] benchmark.Twitter	2.06GB/49.1GB (4.2%)
2021-10-20T05:17:49.673+0000	[#.......................] benchmark.Twitter	2.09GB/49.1GB (4.3%)
2021-10-20T05:17:52.673+0000	[#.......................] benchmark.Twitter	2.13GB/49.1GB (4.3%)
2021-10-20T05:17:55.672+0000	[#.......................] benchmark.Twitter	2.16GB/49.1GB (4.4%)
2021-10-20T05:17:58.672+0000	[#.......................] benchmark.Twitter	2.20GB/49.1GB (4.5%)
2021-10-20T05:18:01.672+0000	[#.......................] benchmark.Twitter	2.24GB/49.1GB (4.6%)
2021-10-20T05:18:04.672+0000	[#.......................] benchmark.Twitter	2.28GB/49.1GB (4.6%)
2021-10-20T05:18:07.672+0000	[#.......................] benchmark.Twitter	2.32GB/49.1GB (4.7%)
2021-10-20T05:18:10.672+0000	[#.......................] benchmark.Twitter	2.37GB/49.1GB (4.8%)
2021-10-20T05:18:13.672+0000	[#.......................] benchmark.Twitter	2.42GB/49.1GB (4.9%)
2021-10-20T05:18:16.672+0000	[#.......................] benchmark.Twitter	2.47GB/49.1GB (5.0%)
2021-10-20T05:18:19.672+0000	[#.......................] benchmark.Twitter	2.52GB/49.1GB (5.1%)
2021-10-20T05:18:22.672+0000	[#.......................] benchmark.Twitter	2.57GB/49.1GB (5.2%)
2021-10-20T05:18:25.672+0000	[#.......................] benchmark.Twitter	2.63GB/49.1GB (5.3%)
2021-10-20T05:18:28.672+0000	[#.......................] benchmark.Twitter	2.68GB/49.1GB (5.4%)
2021-10-20T05:18:31.672+0000	[#.......................] benchmark.Twitter	2.72GB/49.1GB (5.5%)
2021-10-20T05:18:34.672+0000	[#.......................] benchmark.Twitter	2.78GB/49.1GB (5.6%)
2021-10-20T05:18:37.672+0000	[#.......................] benchmark.Twitter	2.82GB/49.1GB (5.7%)
2021-10-20T05:18:40.672+0000	[#.......................] benchmark.Twitter	2.87GB/49.1GB (5.8%)
2021-10-20T05:18:43.672+0000	[#.......................] benchmark.Twitter	2.92GB/49.1GB (5.9%)
2021-10-20T05:18:46.672+0000	[#.......................] benchmark.Twitter	2.98GB/49.1GB (6.1%)
2021-10-20T05:18:49.672+0000	[#.......................] benchmark.Twitter	3.02GB/49.1GB (6.2%)
2021-10-20T05:18:52.673+0000	[#.......................] benchmark.Twitter	3.07GB/49.1GB (6.2%)
2021-10-20T05:18:55.673+0000	[#.......................] benchmark.Twitter	3.12GB/49.1GB (6.3%)
2021-10-20T05:18:58.672+0000	[#.......................] benchmark.Twitter	3.17GB/49.1GB (6.4%)
2021-10-20T05:19:01.672+0000	[#.......................] benchmark.Twitter	3.21GB/49.1GB (6.5%)
2021-10-20T05:19:04.672+0000	[#.......................] benchmark.Twitter	3.26GB/49.1GB (6.6%)
2021-10-20T05:19:07.672+0000	[#.......................] benchmark.Twitter	3.31GB/49.1GB (6.7%)
2021-10-20T05:19:10.672+0000	[#.......................] benchmark.Twitter	3.36GB/49.1GB (6.8%)
2021-10-20T05:19:13.672+0000	[#.......................] benchmark.Twitter	3.40GB/49.1GB (6.9%)
2021-10-20T05:19:16.672+0000	[#.......................] benchmark.Twitter	3.46GB/49.1GB (7.0%)
2021-10-20T05:19:19.672+0000	[#.......................] benchmark.Twitter	3.50GB/49.1GB (7.1%)
2021-10-20T05:19:22.672+0000	[#.......................] benchmark.Twitter	3.55GB/49.1GB (7.2%)
2021-10-20T05:19:25.672+0000	[#.......................] benchmark.Twitter	3.60GB/49.1GB (7.3%)
2021-10-20T05:19:28.673+0000	[#.......................] benchmark.Twitter	3.65GB/49.1GB (7.4%)
2021-10-20T05:19:31.672+0000	[#.......................] benchmark.Twitter	3.70GB/49.1GB (7.5%)
2021-10-20T05:19:34.672+0000	[#.......................] benchmark.Twitter	3.75GB/49.1GB (7.6%)
2021-10-20T05:19:37.672+0000	[#.......................] benchmark.Twitter	3.80GB/49.1GB (7.7%)
2021-10-20T05:19:40.672+0000	[#.......................] benchmark.Twitter	3.85GB/49.1GB (7.8%)
2021-10-20T05:19:43.672+0000	[#.......................] benchmark.Twitter	3.89GB/49.1GB (7.9%)
2021-10-20T05:19:46.673+0000	[#.......................] benchmark.Twitter	3.94GB/49.1GB (8.0%)
2021-10-20T05:19:49.672+0000	[#.......................] benchmark.Twitter	4.00GB/49.1GB (8.1%)
2021-10-20T05:19:52.672+0000	[#.......................] benchmark.Twitter	4.05GB/49.1GB (8.2%)
2021-10-20T05:19:55.672+0000	[##......................] benchmark.Twitter	4.10GB/49.1GB (8.3%)
2021-10-20T05:19:58.672+0000	[##......................] benchmark.Twitter	4.15GB/49.1GB (8.4%)
2021-10-20T05:20:01.672+0000	[##......................] benchmark.Twitter	4.20GB/49.1GB (8.5%)
2021-10-20T05:20:04.672+0000	[##......................] benchmark.Twitter	4.24GB/49.1GB (8.6%)
2021-10-20T05:20:07.672+0000	[##......................] benchmark.Twitter	4.29GB/49.1GB (8.7%)
2021-10-20T05:20:10.672+0000	[##......................] benchmark.Twitter	4.34GB/49.1GB (8.8%)
2021-10-20T05:20:13.672+0000	[##......................] benchmark.Twitter	4.39GB/49.1GB (8.9%)
2021-10-20T05:20:16.672+0000	[##......................] benchmark.Twitter	4.43GB/49.1GB (9.0%)
2021-10-20T05:20:19.672+0000	[##......................] benchmark.Twitter	4.48GB/49.1GB (9.1%)
2021-10-20T05:20:22.673+0000	[##......................] benchmark.Twitter	4.53GB/49.1GB (9.2%)
2021-10-20T05:20:25.672+0000	[##......................] benchmark.Twitter	4.57GB/49.1GB (9.3%)
2021-10-20T05:20:28.672+0000	[##......................] benchmark.Twitter	4.62GB/49.1GB (9.4%)
2021-10-20T05:20:31.673+0000	[##......................] benchmark.Twitter	4.67GB/49.1GB (9.5%)
2021-10-20T05:20:34.672+0000	[##......................] benchmark.Twitter	4.72GB/49.1GB (9.6%)
2021-10-20T05:20:37.672+0000	[##......................] benchmark.Twitter	4.76GB/49.1GB (9.7%)
2021-10-20T05:20:40.672+0000	[##......................] benchmark.Twitter	4.81GB/49.1GB (9.8%)
