=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
12de5fcaedc89a80d9e030cab4969e036475af2583de3e66333c629719025258
0
JODA: 105.953 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
686e817ff20633aa2d65dd5da242653f4bd7054d662ab073bffc86fdac11388d
2021-10-24T19:29:38.095+0000	connected to: mongodb://localhost/
2021-10-24T19:29:41.095+0000	[........................] benchmark.Twitter	42.9MB/49.1GB (0.1%)
2021-10-24T19:29:44.095+0000	[........................] benchmark.Twitter	89.4MB/49.1GB (0.2%)
2021-10-24T19:29:47.095+0000	[........................] benchmark.Twitter	139MB/49.1GB (0.3%)
2021-10-24T19:29:50.095+0000	[........................] benchmark.Twitter	190MB/49.1GB (0.4%)
2021-10-24T19:29:53.095+0000	[........................] benchmark.Twitter	241MB/49.1GB (0.5%)
2021-10-24T19:29:56.096+0000	[........................] benchmark.Twitter	291MB/49.1GB (0.6%)
2021-10-24T19:29:59.095+0000	[........................] benchmark.Twitter	339MB/49.1GB (0.7%)
2021-10-24T19:30:02.095+0000	[........................] benchmark.Twitter	389MB/49.1GB (0.8%)
2021-10-24T19:30:05.095+0000	[........................] benchmark.Twitter	440MB/49.1GB (0.9%)
2021-10-24T19:30:08.095+0000	[........................] benchmark.Twitter	489MB/49.1GB (1.0%)
2021-10-24T19:30:11.095+0000	[........................] benchmark.Twitter	540MB/49.1GB (1.1%)
2021-10-24T19:30:14.095+0000	[........................] benchmark.Twitter	591MB/49.1GB (1.2%)
2021-10-24T19:30:17.095+0000	[........................] benchmark.Twitter	642MB/49.1GB (1.3%)
2021-10-24T19:30:20.095+0000	[........................] benchmark.Twitter	692MB/49.1GB (1.4%)
2021-10-24T19:30:23.095+0000	[........................] benchmark.Twitter	743MB/49.1GB (1.5%)
2021-10-24T19:30:26.095+0000	[........................] benchmark.Twitter	793MB/49.1GB (1.6%)
2021-10-24T19:30:29.095+0000	[........................] benchmark.Twitter	843MB/49.1GB (1.7%)
2021-10-24T19:30:32.096+0000	[........................] benchmark.Twitter	892MB/49.1GB (1.8%)
2021-10-24T19:30:35.096+0000	[........................] benchmark.Twitter	942MB/49.1GB (1.9%)
2021-10-24T19:30:38.095+0000	[........................] benchmark.Twitter	992MB/49.1GB (2.0%)
2021-10-24T19:30:41.095+0000	[........................] benchmark.Twitter	1.02GB/49.1GB (2.1%)
2021-10-24T19:30:44.095+0000	[........................] benchmark.Twitter	1.07GB/49.1GB (2.2%)
2021-10-24T19:30:47.097+0000	[........................] benchmark.Twitter	1.12GB/49.1GB (2.3%)
2021-10-24T19:30:50.096+0000	[........................] benchmark.Twitter	1.17GB/49.1GB (2.4%)
2021-10-24T19:30:53.096+0000	[........................] benchmark.Twitter	1.22GB/49.1GB (2.5%)
2021-10-24T19:30:56.095+0000	[........................] benchmark.Twitter	1.26GB/49.1GB (2.6%)
2021-10-24T19:30:59.096+0000	[........................] benchmark.Twitter	1.31GB/49.1GB (2.7%)
2021-10-24T19:31:02.095+0000	[........................] benchmark.Twitter	1.36GB/49.1GB (2.8%)
2021-10-24T19:31:05.095+0000	[........................] benchmark.Twitter	1.41GB/49.1GB (2.9%)
2021-10-24T19:31:08.095+0000	[........................] benchmark.Twitter	1.46GB/49.1GB (3.0%)
2021-10-24T19:31:11.095+0000	[........................] benchmark.Twitter	1.51GB/49.1GB (3.1%)
2021-10-24T19:31:14.095+0000	[........................] benchmark.Twitter	1.56GB/49.1GB (3.2%)
2021-10-24T19:31:17.096+0000	[........................] benchmark.Twitter	1.61GB/49.1GB (3.3%)
2021-10-24T19:31:20.096+0000	[........................] benchmark.Twitter	1.65GB/49.1GB (3.4%)
2021-10-24T19:31:23.095+0000	[........................] benchmark.Twitter	1.70GB/49.1GB (3.5%)
2021-10-24T19:31:26.095+0000	[........................] benchmark.Twitter	1.75GB/49.1GB (3.6%)
2021-10-24T19:31:29.097+0000	[........................] benchmark.Twitter	1.80GB/49.1GB (3.7%)
2021-10-24T19:31:32.096+0000	[........................] benchmark.Twitter	1.85GB/49.1GB (3.8%)
2021-10-24T19:31:35.096+0000	[........................] benchmark.Twitter	1.90GB/49.1GB (3.9%)
2021-10-24T19:31:38.096+0000	[........................] benchmark.Twitter	1.95GB/49.1GB (4.0%)
2021-10-24T19:31:41.095+0000	[........................] benchmark.Twitter	1.99GB/49.1GB (4.1%)
2021-10-24T19:31:44.095+0000	[........................] benchmark.Twitter	2.04GB/49.1GB (4.1%)
2021-10-24T19:31:47.096+0000	[#.......................] benchmark.Twitter	2.08GB/49.1GB (4.2%)
2021-10-24T19:31:50.096+0000	[#.......................] benchmark.Twitter	2.11GB/49.1GB (4.3%)
2021-10-24T19:31:53.096+0000	[#.......................] benchmark.Twitter	2.15GB/49.1GB (4.4%)
2021-10-24T19:31:56.095+0000	[#.......................] benchmark.Twitter	2.18GB/49.1GB (4.4%)
2021-10-24T19:31:59.096+0000	[#.......................] benchmark.Twitter	2.22GB/49.1GB (4.5%)
2021-10-24T19:32:02.096+0000	[#.......................] benchmark.Twitter	2.26GB/49.1GB (4.6%)
2021-10-24T19:32:05.095+0000	[#.......................] benchmark.Twitter	2.30GB/49.1GB (4.7%)
2021-10-24T19:32:08.095+0000	[#.......................] benchmark.Twitter	2.35GB/49.1GB (4.8%)
2021-10-24T19:32:11.095+0000	[#.......................] benchmark.Twitter	2.39GB/49.1GB (4.9%)
2021-10-24T19:32:14.095+0000	[#.......................] benchmark.Twitter	2.44GB/49.1GB (5.0%)
2021-10-24T19:32:17.095+0000	[#.......................] benchmark.Twitter	2.49GB/49.1GB (5.1%)
2021-10-24T19:32:20.097+0000	[#.......................] benchmark.Twitter	2.54GB/49.1GB (5.2%)
2021-10-24T19:32:23.095+0000	[#.......................] benchmark.Twitter	2.59GB/49.1GB (5.3%)
2021-10-24T19:32:26.095+0000	[#.......................] benchmark.Twitter	2.64GB/49.1GB (5.4%)
2021-10-24T19:32:29.096+0000	[#.......................] benchmark.Twitter	2.69GB/49.1GB (5.5%)
2021-10-24T19:32:32.095+0000	[#.......................] benchmark.Twitter	2.74GB/49.1GB (5.6%)
2021-10-24T19:32:35.095+0000	[#.......................] benchmark.Twitter	2.79GB/49.1GB (5.7%)
2021-10-24T19:32:38.096+0000	[#.......................] benchmark.Twitter	2.84GB/49.1GB (5.8%)
2021-10-24T19:32:41.095+0000	[#.......................] benchmark.Twitter	2.89GB/49.1GB (5.9%)
2021-10-24T19:32:44.095+0000	[#.......................] benchmark.Twitter	2.94GB/49.1GB (6.0%)
