=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
8cb8c9f8b47dfd07bafce82b90c95cd9ac8b8ff12d3573ba9e7c5528da6271b9
0
JODA: 127.769 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
4e5383c73a87fcd86226f0c23fe219244ca21041f33431758d2572320c5f46b8
2021-10-20T12:17:10.118+0000	connected to: mongodb://localhost/
2021-10-20T12:17:13.119+0000	[........................] benchmark.Twitter	42.9MB/49.1GB (0.1%)
2021-10-20T12:17:16.118+0000	[........................] benchmark.Twitter	89.5MB/49.1GB (0.2%)
2021-10-20T12:17:19.119+0000	[........................] benchmark.Twitter	138MB/49.1GB (0.3%)
2021-10-20T12:17:22.118+0000	[........................] benchmark.Twitter	187MB/49.1GB (0.4%)
2021-10-20T12:17:25.119+0000	[........................] benchmark.Twitter	238MB/49.1GB (0.5%)
2021-10-20T12:17:28.118+0000	[........................] benchmark.Twitter	287MB/49.1GB (0.6%)
2021-10-20T12:17:31.118+0000	[........................] benchmark.Twitter	335MB/49.1GB (0.7%)
2021-10-20T12:17:34.118+0000	[........................] benchmark.Twitter	385MB/49.1GB (0.8%)
2021-10-20T12:17:37.118+0000	[........................] benchmark.Twitter	435MB/49.1GB (0.9%)
2021-10-20T12:17:40.119+0000	[........................] benchmark.Twitter	484MB/49.1GB (1.0%)
2021-10-20T12:17:43.119+0000	[........................] benchmark.Twitter	534MB/49.1GB (1.1%)
2021-10-20T12:17:46.118+0000	[........................] benchmark.Twitter	584MB/49.1GB (1.2%)
2021-10-20T12:17:49.118+0000	[........................] benchmark.Twitter	634MB/49.1GB (1.3%)
2021-10-20T12:17:52.118+0000	[........................] benchmark.Twitter	684MB/49.1GB (1.4%)
2021-10-20T12:17:55.118+0000	[........................] benchmark.Twitter	735MB/49.1GB (1.5%)
2021-10-20T12:17:58.118+0000	[........................] benchmark.Twitter	785MB/49.1GB (1.6%)
2021-10-20T12:18:01.119+0000	[........................] benchmark.Twitter	834MB/49.1GB (1.7%)
2021-10-20T12:18:04.119+0000	[........................] benchmark.Twitter	883MB/49.1GB (1.8%)
2021-10-20T12:18:07.118+0000	[........................] benchmark.Twitter	934MB/49.1GB (1.9%)
2021-10-20T12:18:10.118+0000	[........................] benchmark.Twitter	984MB/49.1GB (2.0%)
2021-10-20T12:18:13.119+0000	[........................] benchmark.Twitter	1.01GB/49.1GB (2.1%)
2021-10-20T12:18:16.119+0000	[........................] benchmark.Twitter	1.06GB/49.1GB (2.2%)
2021-10-20T12:18:19.119+0000	[........................] benchmark.Twitter	1.11GB/49.1GB (2.3%)
2021-10-20T12:18:22.118+0000	[........................] benchmark.Twitter	1.16GB/49.1GB (2.4%)
2021-10-20T12:18:25.118+0000	[........................] benchmark.Twitter	1.21GB/49.1GB (2.5%)
2021-10-20T12:18:28.118+0000	[........................] benchmark.Twitter	1.25GB/49.1GB (2.6%)
2021-10-20T12:18:31.118+0000	[........................] benchmark.Twitter	1.30GB/49.1GB (2.7%)
2021-10-20T12:18:34.119+0000	[........................] benchmark.Twitter	1.35GB/49.1GB (2.8%)
2021-10-20T12:18:37.119+0000	[........................] benchmark.Twitter	1.40GB/49.1GB (2.8%)
2021-10-20T12:18:40.118+0000	[........................] benchmark.Twitter	1.45GB/49.1GB (2.9%)
2021-10-20T12:18:43.119+0000	[........................] benchmark.Twitter	1.49GB/49.1GB (3.0%)
2021-10-20T12:18:46.118+0000	[........................] benchmark.Twitter	1.54GB/49.1GB (3.1%)
2021-10-20T12:18:49.118+0000	[........................] benchmark.Twitter	1.59GB/49.1GB (3.2%)
2021-10-20T12:18:52.118+0000	[........................] benchmark.Twitter	1.64GB/49.1GB (3.3%)
