=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
69b2fc59ac10d75cad5409c988cd2b9394dcba1a12f4f7633bbf247020fe7135
0
JODA: 97.6092 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
9cb0278a015a6538130434bd213850ba4cc521afe95ddc25115d2d779eb0f80e
2021-10-26T07:28:41.320+0000	connected to: mongodb://localhost/
2021-10-26T07:28:44.320+0000	[........................] benchmark.Twitter	40.7MB/49.1GB (0.1%)
2021-10-26T07:28:47.321+0000	[........................] benchmark.Twitter	85.3MB/49.1GB (0.2%)
2021-10-26T07:28:50.320+0000	[........................] benchmark.Twitter	131MB/49.1GB (0.3%)
2021-10-26T07:28:53.320+0000	[........................] benchmark.Twitter	179MB/49.1GB (0.4%)
2021-10-26T07:28:56.320+0000	[........................] benchmark.Twitter	228MB/49.1GB (0.5%)
2021-10-26T07:28:59.321+0000	[........................] benchmark.Twitter	275MB/49.1GB (0.5%)
2021-10-26T07:29:02.321+0000	[........................] benchmark.Twitter	322MB/49.1GB (0.6%)
2021-10-26T07:29:05.320+0000	[........................] benchmark.Twitter	370MB/49.1GB (0.7%)
2021-10-26T07:29:08.320+0000	[........................] benchmark.Twitter	417MB/49.1GB (0.8%)
2021-10-26T07:29:11.320+0000	[........................] benchmark.Twitter	465MB/49.1GB (0.9%)
2021-10-26T07:29:14.320+0000	[........................] benchmark.Twitter	514MB/49.1GB (1.0%)
2021-10-26T07:29:17.321+0000	[........................] benchmark.Twitter	560MB/49.1GB (1.1%)
2021-10-26T07:29:20.320+0000	[........................] benchmark.Twitter	608MB/49.1GB (1.2%)
2021-10-26T07:29:23.321+0000	[........................] benchmark.Twitter	657MB/49.1GB (1.3%)
2021-10-26T07:29:26.321+0000	[........................] benchmark.Twitter	706MB/49.1GB (1.4%)
2021-10-26T07:29:29.321+0000	[........................] benchmark.Twitter	754MB/49.1GB (1.5%)
2021-10-26T07:29:32.321+0000	[........................] benchmark.Twitter	802MB/49.1GB (1.6%)
2021-10-26T07:29:35.321+0000	[........................] benchmark.Twitter	850MB/49.1GB (1.7%)
2021-10-26T07:29:38.320+0000	[........................] benchmark.Twitter	897MB/49.1GB (1.8%)
2021-10-26T07:29:41.320+0000	[........................] benchmark.Twitter	946MB/49.1GB (1.9%)
2021-10-26T07:29:44.321+0000	[........................] benchmark.Twitter	997MB/49.1GB (2.0%)
2021-10-26T07:29:47.321+0000	[........................] benchmark.Twitter	1.02GB/49.1GB (2.1%)
2021-10-26T07:29:50.321+0000	[........................] benchmark.Twitter	1.07GB/49.1GB (2.2%)
2021-10-26T07:29:53.321+0000	[........................] benchmark.Twitter	1.11GB/49.1GB (2.3%)
2021-10-26T07:29:56.320+0000	[........................] benchmark.Twitter	1.16GB/49.1GB (2.4%)
2021-10-26T07:29:59.321+0000	[........................] benchmark.Twitter	1.20GB/49.1GB (2.5%)
2021-10-26T07:30:02.320+0000	[........................] benchmark.Twitter	1.25GB/49.1GB (2.5%)
2021-10-26T07:30:05.320+0000	[........................] benchmark.Twitter	1.30GB/49.1GB (2.6%)
2021-10-26T07:30:08.320+0000	[........................] benchmark.Twitter	1.34GB/49.1GB (2.7%)
2021-10-26T07:30:11.321+0000	[........................] benchmark.Twitter	1.39GB/49.1GB (2.8%)
2021-10-26T07:30:14.320+0000	[........................] benchmark.Twitter	1.43GB/49.1GB (2.9%)
2021-10-26T07:30:17.321+0000	[........................] benchmark.Twitter	1.48GB/49.1GB (3.0%)
2021-10-26T07:30:20.320+0000	[........................] benchmark.Twitter	1.53GB/49.1GB (3.1%)
2021-10-26T07:30:23.320+0000	[........................] benchmark.Twitter	1.57GB/49.1GB (3.2%)
2021-10-26T07:30:26.320+0000	[........................] benchmark.Twitter	1.62GB/49.1GB (3.3%)
2021-10-26T07:30:29.320+0000	[........................] benchmark.Twitter	1.66GB/49.1GB (3.4%)
2021-10-26T07:30:32.321+0000	[........................] benchmark.Twitter	1.71GB/49.1GB (3.5%)
2021-10-26T07:30:35.320+0000	[........................] benchmark.Twitter	1.76GB/49.1GB (3.6%)
2021-10-26T07:30:38.320+0000	[........................] benchmark.Twitter	1.80GB/49.1GB (3.7%)
2021-10-26T07:30:41.320+0000	[........................] benchmark.Twitter	1.85GB/49.1GB (3.8%)
2021-10-26T07:30:44.320+0000	[........................] benchmark.Twitter	1.90GB/49.1GB (3.9%)
2021-10-26T07:30:47.320+0000	[........................] benchmark.Twitter	1.95GB/49.1GB (4.0%)
2021-10-26T07:30:50.320+0000	[........................] benchmark.Twitter	2.00GB/49.1GB (4.1%)
2021-10-26T07:30:53.320+0000	[........................] benchmark.Twitter	2.03GB/49.1GB (4.1%)
2021-10-26T07:30:56.320+0000	[#.......................] benchmark.Twitter	2.07GB/49.1GB (4.2%)
2021-10-26T07:30:59.321+0000	[#.......................] benchmark.Twitter	2.10GB/49.1GB (4.3%)
2021-10-26T07:31:02.320+0000	[#.......................] benchmark.Twitter	2.14GB/49.1GB (4.3%)
2021-10-26T07:31:05.320+0000	[#.......................] benchmark.Twitter	2.17GB/49.1GB (4.4%)
2021-10-26T07:31:08.323+0000	[#.......................] benchmark.Twitter	2.21GB/49.1GB (4.5%)
2021-10-26T07:31:11.321+0000	[#.......................] benchmark.Twitter	2.24GB/49.1GB (4.6%)
2021-10-26T07:31:14.320+0000	[#.......................] benchmark.Twitter	2.28GB/49.1GB (4.6%)
2021-10-26T07:31:17.320+0000	[#.......................] benchmark.Twitter	2.32GB/49.1GB (4.7%)
2021-10-26T07:31:20.320+0000	[#.......................] benchmark.Twitter	2.37GB/49.1GB (4.8%)
