=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
0f09bbb30f58d12d3526199bbaf204c04c782072f4ffc7c906816ead0fd45c73
0
JODA: 100.195 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
c07a26c7039c622d3e37edfb614584fdae326a4e860b73627438943f2cafbf75
2021-11-02T02:19:59.717+0000	connected to: mongodb://localhost/
2021-11-02T02:20:02.718+0000	[........................] benchmark.Twitter	40.9MB/49.1GB (0.1%)
2021-11-02T02:20:05.717+0000	[........................] benchmark.Twitter	85.7MB/49.1GB (0.2%)
2021-11-02T02:20:08.717+0000	[........................] benchmark.Twitter	133MB/49.1GB (0.3%)
2021-11-02T02:20:11.719+0000	[........................] benchmark.Twitter	180MB/49.1GB (0.4%)
2021-11-02T02:20:14.719+0000	[........................] benchmark.Twitter	229MB/49.1GB (0.5%)
2021-11-02T02:20:17.717+0000	[........................] benchmark.Twitter	277MB/49.1GB (0.6%)
2021-11-02T02:20:20.717+0000	[........................] benchmark.Twitter	325MB/49.1GB (0.6%)
2021-11-02T02:20:23.717+0000	[........................] benchmark.Twitter	372MB/49.1GB (0.7%)
2021-11-02T02:20:26.718+0000	[........................] benchmark.Twitter	420MB/49.1GB (0.8%)
2021-11-02T02:20:29.717+0000	[........................] benchmark.Twitter	469MB/49.1GB (0.9%)
2021-11-02T02:20:32.717+0000	[........................] benchmark.Twitter	517MB/49.1GB (1.0%)
2021-11-02T02:20:35.717+0000	[........................] benchmark.Twitter	565MB/49.1GB (1.1%)
2021-11-02T02:20:38.718+0000	[........................] benchmark.Twitter	614MB/49.1GB (1.2%)
2021-11-02T02:20:41.717+0000	[........................] benchmark.Twitter	663MB/49.1GB (1.3%)
2021-11-02T02:20:44.718+0000	[........................] benchmark.Twitter	712MB/49.1GB (1.4%)
2021-11-02T02:20:47.718+0000	[........................] benchmark.Twitter	760MB/49.1GB (1.5%)
2021-11-02T02:20:50.717+0000	[........................] benchmark.Twitter	809MB/49.1GB (1.6%)
2021-11-02T02:20:53.717+0000	[........................] benchmark.Twitter	859MB/49.1GB (1.7%)
2021-11-02T02:20:56.717+0000	[........................] benchmark.Twitter	907MB/49.1GB (1.8%)
2021-11-02T02:20:59.718+0000	[........................] benchmark.Twitter	954MB/49.1GB (1.9%)
2021-11-02T02:21:02.717+0000	[........................] benchmark.Twitter	1006MB/49.1GB (2.0%)
2021-11-02T02:21:05.718+0000	[........................] benchmark.Twitter	1.03GB/49.1GB (2.1%)
2021-11-02T02:21:08.718+0000	[........................] benchmark.Twitter	1.07GB/49.1GB (2.2%)
2021-11-02T02:21:11.717+0000	[........................] benchmark.Twitter	1.12GB/49.1GB (2.3%)
2021-11-02T02:21:14.717+0000	[........................] benchmark.Twitter	1.17GB/49.1GB (2.4%)
2021-11-02T02:21:17.718+0000	[........................] benchmark.Twitter	1.21GB/49.1GB (2.5%)
2021-11-02T02:21:20.717+0000	[........................] benchmark.Twitter	1.26GB/49.1GB (2.6%)
2021-11-02T02:21:23.717+0000	[........................] benchmark.Twitter	1.31GB/49.1GB (2.7%)
2021-11-02T02:21:26.718+0000	[........................] benchmark.Twitter	1.35GB/49.1GB (2.8%)
2021-11-02T02:21:29.717+0000	[........................] benchmark.Twitter	1.40GB/49.1GB (2.8%)
2021-11-02T02:21:32.718+0000	[........................] benchmark.Twitter	1.45GB/49.1GB (2.9%)
2021-11-02T02:21:35.718+0000	[........................] benchmark.Twitter	1.49GB/49.1GB (3.0%)
2021-11-02T02:21:38.717+0000	[........................] benchmark.Twitter	1.54GB/49.1GB (3.1%)
2021-11-02T02:21:41.718+0000	[........................] benchmark.Twitter	1.59GB/49.1GB (3.2%)
2021-11-02T02:21:44.717+0000	[........................] benchmark.Twitter	1.63GB/49.1GB (3.3%)
2021-11-02T02:21:47.718+0000	[........................] benchmark.Twitter	1.68GB/49.1GB (3.4%)
2021-11-02T02:21:50.718+0000	[........................] benchmark.Twitter	1.73GB/49.1GB (3.5%)
2021-11-02T02:21:53.717+0000	[........................] benchmark.Twitter	1.77GB/49.1GB (3.6%)
2021-11-02T02:21:56.718+0000	[........................] benchmark.Twitter	1.82GB/49.1GB (3.7%)
2021-11-02T02:21:59.717+0000	[........................] benchmark.Twitter	1.86GB/49.1GB (3.8%)
2021-11-02T02:22:02.718+0000	[........................] benchmark.Twitter	1.91GB/49.1GB (3.9%)
2021-11-02T02:22:05.718+0000	[........................] benchmark.Twitter	1.96GB/49.1GB (4.0%)
2021-11-02T02:22:08.717+0000	[........................] benchmark.Twitter	2.01GB/49.1GB (4.1%)
2021-11-02T02:22:11.718+0000	[........................] benchmark.Twitter	2.05GB/49.1GB (4.2%)
2021-11-02T02:22:14.720+0000	[#.......................] benchmark.Twitter	2.08GB/49.1GB (4.2%)
2021-11-02T02:22:17.717+0000	[#.......................] benchmark.Twitter	2.11GB/49.1GB (4.3%)
2021-11-02T02:22:20.718+0000	[#.......................] benchmark.Twitter	2.15GB/49.1GB (4.4%)
2021-11-02T02:22:23.718+0000	[#.......................] benchmark.Twitter	2.19GB/49.1GB (4.4%)
2021-11-02T02:22:26.717+0000	[#.......................] benchmark.Twitter	2.22GB/49.1GB (4.5%)
2021-11-02T02:22:29.718+0000	[#.......................] benchmark.Twitter	2.26GB/49.1GB (4.6%)
2021-11-02T02:22:32.717+0000	[#.......................] benchmark.Twitter	2.30GB/49.1GB (4.7%)
2021-11-02T02:22:35.717+0000	[#.......................] benchmark.Twitter	2.34GB/49.1GB (4.8%)
2021-11-02T02:22:38.717+0000	[#.......................] benchmark.Twitter	2.39GB/49.1GB (4.9%)
2021-11-02T02:22:41.717+0000	[#.......................] benchmark.Twitter	2.44GB/49.1GB (5.0%)
2021-11-02T02:22:44.718+0000	[#.......................] benchmark.Twitter	2.48GB/49.1GB (5.1%)
2021-11-02T02:22:47.717+0000	[#.......................] benchmark.Twitter	2.53GB/49.1GB (5.2%)
2021-11-02T02:22:50.718+0000	[#.......................] benchmark.Twitter	2.58GB/49.1GB (5.2%)
2021-11-02T02:22:53.718+0000	[#.......................] benchmark.Twitter	2.63GB/49.1GB (5.3%)
2021-11-02T02:22:56.718+0000	[#.......................] benchmark.Twitter	2.67GB/49.1GB (5.4%)
2021-11-02T02:22:59.719+0000	[#.......................] benchmark.Twitter	2.72GB/49.1GB (5.5%)
2021-11-02T02:23:02.720+0000	[#.......................] benchmark.Twitter	2.77GB/49.1GB (5.6%)
2021-11-02T02:23:05.718+0000	[#.......................] benchmark.Twitter	2.81GB/49.1GB (5.7%)
2021-11-02T02:23:08.717+0000	[#.......................] benchmark.Twitter	2.86GB/49.1GB (5.8%)
2021-11-02T02:23:11.719+0000	[#.......................] benchmark.Twitter	2.91GB/49.1GB (5.9%)
2021-11-02T02:23:14.719+0000	[#.......................] benchmark.Twitter	2.96GB/49.1GB (6.0%)
2021-11-02T02:23:17.717+0000	[#.......................] benchmark.Twitter	3.00GB/49.1GB (6.1%)
2021-11-02T02:23:20.717+0000	[#.......................] benchmark.Twitter	3.05GB/49.1GB (6.2%)
2021-11-02T02:23:23.718+0000	[#.......................] benchmark.Twitter	3.10GB/49.1GB (6.3%)
2021-11-02T02:23:26.717+0000	[#.......................] benchmark.Twitter	3.15GB/49.1GB (6.4%)
2021-11-02T02:23:29.718+0000	[#.......................] benchmark.Twitter	3.20GB/49.1GB (6.5%)
2021-11-02T02:23:32.717+0000	[#.......................] benchmark.Twitter	3.24GB/49.1GB (6.6%)
2021-11-02T02:23:35.718+0000	[#.......................] benchmark.Twitter	3.29GB/49.1GB (6.7%)
2021-11-02T02:23:38.718+0000	[#.......................] benchmark.Twitter	3.34GB/49.1GB (6.8%)
2021-11-02T02:23:41.718+0000	[#.......................] benchmark.Twitter	3.38GB/49.1GB (6.9%)
2021-11-02T02:23:44.717+0000	[#.......................] benchmark.Twitter	3.43GB/49.1GB (7.0%)
2021-11-02T02:23:47.718+0000	[#.......................] benchmark.Twitter	3.48GB/49.1GB (7.1%)
2021-11-02T02:23:50.718+0000	[#.......................] benchmark.Twitter	3.53GB/49.1GB (7.2%)
2021-11-02T02:23:53.717+0000	[#.......................] benchmark.Twitter	3.57GB/49.1GB (7.3%)
2021-11-02T02:23:56.718+0000	[#.......................] benchmark.Twitter	3.62GB/49.1GB (7.4%)
2021-11-02T02:23:59.717+0000	[#.......................] benchmark.Twitter	3.67GB/49.1GB (7.5%)
2021-11-02T02:24:02.717+0000	[#.......................] benchmark.Twitter	3.71GB/49.1GB (7.6%)
2021-11-02T02:24:05.719+0000	[#.......................] benchmark.Twitter	3.76GB/49.1GB (7.7%)
2021-11-02T02:24:08.717+0000	[#.......................] benchmark.Twitter	3.81GB/49.1GB (7.8%)
2021-11-02T02:24:11.717+0000	[#.......................] benchmark.Twitter	3.86GB/49.1GB (7.9%)
2021-11-02T02:24:14.717+0000	[#.......................] benchmark.Twitter	3.91GB/49.1GB (8.0%)
2021-11-02T02:24:17.719+0000	[#.......................] benchmark.Twitter	3.95GB/49.1GB (8.0%)
2021-11-02T02:24:20.717+0000	[#.......................] benchmark.Twitter	4.00GB/49.1GB (8.1%)
2021-11-02T02:24:23.719+0000	[#.......................] benchmark.Twitter	4.05GB/49.1GB (8.2%)
2021-11-02T02:24:26.717+0000	[##......................] benchmark.Twitter	4.10GB/49.1GB (8.3%)
2021-11-02T02:24:29.718+0000	[##......................] benchmark.Twitter	4.14GB/49.1GB (8.4%)
2021-11-02T02:24:32.717+0000	[##......................] benchmark.Twitter	4.19GB/49.1GB (8.5%)
2021-11-02T02:24:35.717+0000	[##......................] benchmark.Twitter	4.24GB/49.1GB (8.6%)
2021-11-02T02:24:38.717+0000	[##......................] benchmark.Twitter	4.29GB/49.1GB (8.7%)
2021-11-02T02:24:41.717+0000	[##......................] benchmark.Twitter	4.33GB/49.1GB (8.8%)
2021-11-02T02:24:44.718+0000	[##......................] benchmark.Twitter	4.38GB/49.1GB (8.9%)
2021-11-02T02:24:47.717+0000	[##......................] benchmark.Twitter	4.43GB/49.1GB (9.0%)
2021-11-02T02:24:50.717+0000	[##......................] benchmark.Twitter	4.47GB/49.1GB (9.1%)
2021-11-02T02:24:53.718+0000	[##......................] benchmark.Twitter	4.52GB/49.1GB (9.2%)
2021-11-02T02:24:56.718+0000	[##......................] benchmark.Twitter	4.57GB/49.1GB (9.3%)
2021-11-02T02:24:59.720+0000	[##......................] benchmark.Twitter	4.61GB/49.1GB (9.4%)
2021-11-02T02:25:02.718+0000	[##......................] benchmark.Twitter	4.66GB/49.1GB (9.5%)
2021-11-02T02:25:05.719+0000	[##......................] benchmark.Twitter	4.71GB/49.1GB (9.6%)
2021-11-02T02:25:08.718+0000	[##......................] benchmark.Twitter	4.75GB/49.1GB (9.7%)
2021-11-02T02:25:11.717+0000	[##......................] benchmark.Twitter	4.80GB/49.1GB (9.8%)
2021-11-02T02:25:14.717+0000	[##......................] benchmark.Twitter	4.85GB/49.1GB (9.9%)
2021-11-02T02:25:17.718+0000	[##......................] benchmark.Twitter	4.90GB/49.1GB (10.0%)
2021-11-02T02:25:20.717+0000	[##......................] benchmark.Twitter	4.94GB/49.1GB (10.1%)
2021-11-02T02:25:23.718+0000	[##......................] benchmark.Twitter	4.99GB/49.1GB (10.2%)
2021-11-02T02:25:26.717+0000	[##......................] benchmark.Twitter	5.04GB/49.1GB (10.3%)
2021-11-02T02:25:29.718+0000	[##......................] benchmark.Twitter	5.08GB/49.1GB (10.3%)
2021-11-02T02:25:32.717+0000	[##......................] benchmark.Twitter	5.13GB/49.1GB (10.4%)
2021-11-02T02:25:35.718+0000	[##......................] benchmark.Twitter	5.18GB/49.1GB (10.5%)
2021-11-02T02:25:38.717+0000	[##......................] benchmark.Twitter	5.22GB/49.1GB (10.6%)
2021-11-02T02:25:41.717+0000	[##......................] benchmark.Twitter	5.27GB/49.1GB (10.7%)
2021-11-02T02:25:44.718+0000	[##......................] benchmark.Twitter	5.31GB/49.1GB (10.8%)
2021-11-02T02:25:47.718+0000	[##......................] benchmark.Twitter	5.35GB/49.1GB (10.9%)
2021-11-02T02:25:50.717+0000	[##......................] benchmark.Twitter	5.38GB/49.1GB (11.0%)
