=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
73b4c6a4d75c45df1317c774e5678dc1c274b3ecfadd00dd4bb70249d3bc379e
0
JODA: 91.1609 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
755239e1e8198120d4a0b206c85b00a432b9698e6d3be8ab81be8f3beb88b001
2021-10-27T10:22:28.949+0000	connected to: mongodb://localhost/
2021-10-27T10:22:31.950+0000	[........................] benchmark.Twitter	41.3MB/49.1GB (0.1%)
2021-10-27T10:22:34.949+0000	[........................] benchmark.Twitter	85.7MB/49.1GB (0.2%)
2021-10-27T10:22:37.949+0000	[........................] benchmark.Twitter	133MB/49.1GB (0.3%)
2021-10-27T10:22:40.949+0000	[........................] benchmark.Twitter	181MB/49.1GB (0.4%)
2021-10-27T10:22:43.949+0000	[........................] benchmark.Twitter	230MB/49.1GB (0.5%)
2021-10-27T10:22:46.949+0000	[........................] benchmark.Twitter	278MB/49.1GB (0.6%)
2021-10-27T10:22:49.949+0000	[........................] benchmark.Twitter	323MB/49.1GB (0.6%)
2021-10-27T10:22:52.949+0000	[........................] benchmark.Twitter	372MB/49.1GB (0.7%)
2021-10-27T10:22:55.950+0000	[........................] benchmark.Twitter	420MB/49.1GB (0.8%)
2021-10-27T10:22:58.949+0000	[........................] benchmark.Twitter	470MB/49.1GB (0.9%)
2021-10-27T10:23:01.949+0000	[........................] benchmark.Twitter	518MB/49.1GB (1.0%)
2021-10-27T10:23:04.950+0000	[........................] benchmark.Twitter	564MB/49.1GB (1.1%)
2021-10-27T10:23:07.949+0000	[........................] benchmark.Twitter	613MB/49.1GB (1.2%)
2021-10-27T10:23:10.949+0000	[........................] benchmark.Twitter	662MB/49.1GB (1.3%)
2021-10-27T10:23:13.950+0000	[........................] benchmark.Twitter	711MB/49.1GB (1.4%)
2021-10-27T10:23:16.949+0000	[........................] benchmark.Twitter	758MB/49.1GB (1.5%)
2021-10-27T10:23:19.949+0000	[........................] benchmark.Twitter	806MB/49.1GB (1.6%)
2021-10-27T10:23:22.949+0000	[........................] benchmark.Twitter	854MB/49.1GB (1.7%)
2021-10-27T10:23:25.949+0000	[........................] benchmark.Twitter	903MB/49.1GB (1.8%)
2021-10-27T10:23:28.949+0000	[........................] benchmark.Twitter	952MB/49.1GB (1.9%)
2021-10-27T10:23:31.951+0000	[........................] benchmark.Twitter	1006MB/49.1GB (2.0%)
2021-10-27T10:23:34.949+0000	[........................] benchmark.Twitter	1.03GB/49.1GB (2.1%)
2021-10-27T10:23:37.949+0000	[........................] benchmark.Twitter	1.08GB/49.1GB (2.2%)
2021-10-27T10:23:40.949+0000	[........................] benchmark.Twitter	1.12GB/49.1GB (2.3%)
2021-10-27T10:23:43.950+0000	[........................] benchmark.Twitter	1.17GB/49.1GB (2.4%)
2021-10-27T10:23:46.950+0000	[........................] benchmark.Twitter	1.22GB/49.1GB (2.5%)
2021-10-27T10:23:49.950+0000	[........................] benchmark.Twitter	1.27GB/49.1GB (2.6%)
2021-10-27T10:23:52.949+0000	[........................] benchmark.Twitter	1.31GB/49.1GB (2.7%)
2021-10-27T10:23:55.952+0000	[........................] benchmark.Twitter	1.36GB/49.1GB (2.8%)
2021-10-27T10:23:58.949+0000	[........................] benchmark.Twitter	1.41GB/49.1GB (2.9%)
2021-10-27T10:24:01.949+0000	[........................] benchmark.Twitter	1.45GB/49.1GB (3.0%)
