=== Found JODA query file, executing JODA queries ===
= File:'NoBench_extra.json' =
= File:'NoBench.json' =
0.12.3: Pulling from nicotin/joda
Digest: sha256:6c0c6b4a19967ae02ef348535acdb3eb8496453a8b868763c34370e10be0192f
Status: Image is up to date for nicotin/joda:0.12.3
fd7ead60f0970b453e0744b00a5b14a172654cd30b2b5c42ed1d72252d1fcf73
0
JODA: 198.246 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'NoBench_extra.json' =
= File:'NoBench.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
11e33b958cc78f55766de31dfd3ae5153340cb6479805c406fb8502f6d1ead04
2021-11-10T08:06:04.429+0000	connected to: mongodb://localhost/
2021-11-10T08:06:07.430+0000	[################........] benchmark.NoBench_extra	21.6MB/30.6MB (70.4%)
2021-11-10T08:06:09.488+0000	[########################] benchmark.NoBench_extra	30.6MB/30.6MB (100.0%)
2021-11-10T08:06:09.488+0000	50000 document(s) imported successfully. 0 document(s) failed to import.
2021-11-10T08:06:09.519+0000	connected to: mongodb://localhost/
2021-11-10T08:06:12.520+0000	[........................] benchmark.NoBench	15.6MB/29.7GB (0.1%)
2021-11-10T08:06:15.519+0000	[........................] benchmark.NoBench	29.9MB/29.7GB (0.1%)
2021-11-10T08:06:18.521+0000	[........................] benchmark.NoBench	43.4MB/29.7GB (0.1%)
2021-11-10T08:06:21.520+0000	[........................] benchmark.NoBench	57.1MB/29.7GB (0.2%)
2021-11-10T08:06:24.519+0000	[........................] benchmark.NoBench	73.7MB/29.7GB (0.2%)
2021-11-10T08:06:27.519+0000	[........................] benchmark.NoBench	87.7MB/29.7GB (0.3%)
2021-11-10T08:06:30.519+0000	[........................] benchmark.NoBench	102MB/29.7GB (0.3%)
2021-11-10T08:06:33.522+0000	[........................] benchmark.NoBench	116MB/29.7GB (0.4%)
2021-11-10T08:06:36.520+0000	[........................] benchmark.NoBench	132MB/29.7GB (0.4%)
2021-11-10T08:06:39.520+0000	[........................] benchmark.NoBench	147MB/29.7GB (0.5%)
2021-11-10T08:06:42.520+0000	[........................] benchmark.NoBench	161MB/29.7GB (0.5%)
2021-11-10T08:06:45.522+0000	[........................] benchmark.NoBench	177MB/29.7GB (0.6%)
2021-11-10T08:06:48.520+0000	[........................] benchmark.NoBench	191MB/29.7GB (0.6%)
2021-11-10T08:06:51.531+0000	[........................] benchmark.NoBench	206MB/29.7GB (0.7%)
2021-11-10T08:06:54.520+0000	[........................] benchmark.NoBench	220MB/29.7GB (0.7%)
2021-11-10T08:06:57.519+0000	[........................] benchmark.NoBench	235MB/29.7GB (0.8%)
2021-11-10T08:07:00.520+0000	[........................] benchmark.NoBench	250MB/29.7GB (0.8%)
2021-11-10T08:07:03.520+0000	[........................] benchmark.NoBench	265MB/29.7GB (0.9%)
2021-11-10T08:07:06.519+0000	[........................] benchmark.NoBench	282MB/29.7GB (0.9%)
2021-11-10T08:07:09.520+0000	[........................] benchmark.NoBench	297MB/29.7GB (1.0%)
2021-11-10T08:07:12.520+0000	[........................] benchmark.NoBench	313MB/29.7GB (1.0%)
2021-11-10T08:07:15.520+0000	[........................] benchmark.NoBench	328MB/29.7GB (1.1%)
2021-11-10T08:07:18.520+0000	[........................] benchmark.NoBench	342MB/29.7GB (1.1%)
2021-11-10T08:07:21.521+0000	[........................] benchmark.NoBench	358MB/29.7GB (1.2%)
2021-11-10T08:07:24.520+0000	[........................] benchmark.NoBench	374MB/29.7GB (1.2%)
2021-11-10T08:07:27.519+0000	[........................] benchmark.NoBench	389MB/29.7GB (1.3%)
2021-11-10T08:07:30.520+0000	[........................] benchmark.NoBench	404MB/29.7GB (1.3%)
2021-11-10T08:07:33.520+0000	[........................] benchmark.NoBench	418MB/29.7GB (1.4%)
2021-11-10T08:07:36.520+0000	[........................] benchmark.NoBench	433MB/29.7GB (1.4%)
2021-11-10T08:07:39.519+0000	[........................] benchmark.NoBench	448MB/29.7GB (1.5%)
2021-11-10T08:07:42.519+0000	[........................] benchmark.NoBench	463MB/29.7GB (1.5%)
2021-11-10T08:07:45.520+0000	[........................] benchmark.NoBench	479MB/29.7GB (1.6%)
2021-11-10T08:07:48.520+0000	[........................] benchmark.NoBench	496MB/29.7GB (1.6%)
2021-11-10T08:07:51.520+0000	[........................] benchmark.NoBench	512MB/29.7GB (1.7%)
2021-11-10T08:07:54.519+0000	[........................] benchmark.NoBench	527MB/29.7GB (1.7%)
2021-11-10T08:07:57.521+0000	[........................] benchmark.NoBench	543MB/29.7GB (1.8%)
2021-11-10T08:08:00.525+0000	[........................] benchmark.NoBench	558MB/29.7GB (1.8%)
2021-11-10T08:08:03.520+0000	[........................] benchmark.NoBench	574MB/29.7GB (1.9%)
2021-11-10T08:08:06.519+0000	[........................] benchmark.NoBench	591MB/29.7GB (1.9%)
2021-11-10T08:08:09.519+0000	[........................] benchmark.NoBench	608MB/29.7GB (2.0%)
2021-11-10T08:08:12.520+0000	[........................] benchmark.NoBench	624MB/29.7GB (2.1%)
2021-11-10T08:08:15.519+0000	[........................] benchmark.NoBench	640MB/29.7GB (2.1%)
2021-11-10T08:08:18.519+0000	[........................] benchmark.NoBench	656MB/29.7GB (2.2%)
2021-11-10T08:08:21.519+0000	[........................] benchmark.NoBench	671MB/29.7GB (2.2%)
2021-11-10T08:08:24.519+0000	[........................] benchmark.NoBench	688MB/29.7GB (2.3%)
2021-11-10T08:08:27.520+0000	[........................] benchmark.NoBench	703MB/29.7GB (2.3%)
