=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
7684edb699df2dbda195900f430d9b3dd9b9f3b6a84bd997664ceca3387e01ac
0
JODA: 113.289 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
c2052ec0a573cbb7232fa2f2f4fe31f7c8b00490fc4c9ec2c6e01e99f8fb5676
2021-10-29T18:05:53.104+0000	connected to: mongodb://localhost/
2021-10-29T18:05:56.104+0000	[........................] benchmark.Twitter	46.4MB/49.1GB (0.1%)
2021-10-29T18:05:59.105+0000	[........................] benchmark.Twitter	96.7MB/49.1GB (0.2%)
2021-10-29T18:06:02.104+0000	[........................] benchmark.Twitter	150MB/49.1GB (0.3%)
2021-10-29T18:06:05.104+0000	[........................] benchmark.Twitter	205MB/49.1GB (0.4%)
2021-10-29T18:06:08.104+0000	[........................] benchmark.Twitter	259MB/49.1GB (0.5%)
2021-10-29T18:06:11.105+0000	[........................] benchmark.Twitter	314MB/49.1GB (0.6%)
2021-10-29T18:06:14.104+0000	[........................] benchmark.Twitter	368MB/49.1GB (0.7%)
2021-10-29T18:06:17.104+0000	[........................] benchmark.Twitter	421MB/49.1GB (0.8%)
2021-10-29T18:06:20.104+0000	[........................] benchmark.Twitter	476MB/49.1GB (0.9%)
2021-10-29T18:06:23.104+0000	[........................] benchmark.Twitter	529MB/49.1GB (1.1%)
2021-10-29T18:06:26.104+0000	[........................] benchmark.Twitter	583MB/49.1GB (1.2%)
2021-10-29T18:06:29.104+0000	[........................] benchmark.Twitter	637MB/49.1GB (1.3%)
2021-10-29T18:06:32.104+0000	[........................] benchmark.Twitter	691MB/49.1GB (1.4%)
2021-10-29T18:06:35.104+0000	[........................] benchmark.Twitter	745MB/49.1GB (1.5%)
2021-10-29T18:06:38.104+0000	[........................] benchmark.Twitter	799MB/49.1GB (1.6%)
2021-10-29T18:06:41.104+0000	[........................] benchmark.Twitter	854MB/49.1GB (1.7%)
2021-10-29T18:06:44.104+0000	[........................] benchmark.Twitter	906MB/49.1GB (1.8%)
2021-10-29T18:06:47.104+0000	[........................] benchmark.Twitter	959MB/49.1GB (1.9%)
2021-10-29T18:06:50.104+0000	[........................] benchmark.Twitter	1013MB/49.1GB (2.0%)
2021-10-29T18:06:53.104+0000	[........................] benchmark.Twitter	1.04GB/49.1GB (2.1%)
2021-10-29T18:06:56.104+0000	[........................] benchmark.Twitter	1.10GB/49.1GB (2.2%)
2021-10-29T18:06:59.104+0000	[........................] benchmark.Twitter	1.15GB/49.1GB (2.3%)
2021-10-29T18:07:02.104+0000	[........................] benchmark.Twitter	1.20GB/49.1GB (2.4%)
2021-10-29T18:07:05.104+0000	[........................] benchmark.Twitter	1.25GB/49.1GB (2.6%)
2021-10-29T18:07:08.104+0000	[........................] benchmark.Twitter	1.31GB/49.1GB (2.7%)
2021-10-29T18:07:11.104+0000	[........................] benchmark.Twitter	1.36GB/49.1GB (2.8%)
2021-10-29T18:07:14.104+0000	[........................] benchmark.Twitter	1.41GB/49.1GB (2.9%)
2021-10-29T18:07:17.104+0000	[........................] benchmark.Twitter	1.46GB/49.1GB (3.0%)
2021-10-29T18:07:20.104+0000	[........................] benchmark.Twitter	1.52GB/49.1GB (3.1%)
2021-10-29T18:07:23.104+0000	[........................] benchmark.Twitter	1.57GB/49.1GB (3.2%)
2021-10-29T18:07:26.104+0000	[........................] benchmark.Twitter	1.62GB/49.1GB (3.3%)
2021-10-29T18:07:29.104+0000	[........................] benchmark.Twitter	1.67GB/49.1GB (3.4%)
2021-10-29T18:07:32.105+0000	[........................] benchmark.Twitter	1.72GB/49.1GB (3.5%)
2021-10-29T18:07:35.105+0000	[........................] benchmark.Twitter	1.77GB/49.1GB (3.6%)
2021-10-29T18:07:38.104+0000	[........................] benchmark.Twitter	1.83GB/49.1GB (3.7%)
2021-10-29T18:07:41.104+0000	[........................] benchmark.Twitter	1.88GB/49.1GB (3.8%)
2021-10-29T18:07:44.104+0000	[........................] benchmark.Twitter	1.93GB/49.1GB (3.9%)
2021-10-29T18:07:47.105+0000	[........................] benchmark.Twitter	1.98GB/49.1GB (4.0%)
2021-10-29T18:07:50.104+0000	[........................] benchmark.Twitter	2.03GB/49.1GB (4.1%)
2021-10-29T18:07:53.105+0000	[#.......................] benchmark.Twitter	2.07GB/49.1GB (4.2%)
2021-10-29T18:07:56.104+0000	[#.......................] benchmark.Twitter	2.11GB/49.1GB (4.3%)
2021-10-29T18:07:59.104+0000	[#.......................] benchmark.Twitter	2.16GB/49.1GB (4.4%)
2021-10-29T18:08:02.104+0000	[#.......................] benchmark.Twitter	2.21GB/49.1GB (4.5%)
