=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
62e4e81bdc37dd58046af5a16b6630bda929e4250044a66ad6c52059f5a11052
0
JODA: 114.895 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
22356c2dc5e1092ad059a2b22eb5270047818581862701dfa1863d686b3248f3
2021-10-19T22:19:49.998+0000	connected to: mongodb://localhost/
2021-10-19T22:19:52.999+0000	[........................] benchmark.Twitter	47.1MB/49.1GB (0.1%)
2021-10-19T22:19:55.998+0000	[........................] benchmark.Twitter	99.5MB/49.1GB (0.2%)
2021-10-19T22:19:58.999+0000	[........................] benchmark.Twitter	154MB/49.1GB (0.3%)
2021-10-19T22:20:01.999+0000	[........................] benchmark.Twitter	208MB/49.1GB (0.4%)
2021-10-19T22:20:04.999+0000	[........................] benchmark.Twitter	263MB/49.1GB (0.5%)
2021-10-19T22:20:07.998+0000	[........................] benchmark.Twitter	318MB/49.1GB (0.6%)
2021-10-19T22:20:10.999+0000	[........................] benchmark.Twitter	372MB/49.1GB (0.7%)
2021-10-19T22:20:13.998+0000	[........................] benchmark.Twitter	425MB/49.1GB (0.8%)
2021-10-19T22:20:17.000+0000	[........................] benchmark.Twitter	479MB/49.1GB (1.0%)
2021-10-19T22:20:19.999+0000	[........................] benchmark.Twitter	534MB/49.1GB (1.1%)
2021-10-19T22:20:22.998+0000	[........................] benchmark.Twitter	588MB/49.1GB (1.2%)
2021-10-19T22:20:25.999+0000	[........................] benchmark.Twitter	643MB/49.1GB (1.3%)
2021-10-19T22:20:28.999+0000	[........................] benchmark.Twitter	697MB/49.1GB (1.4%)
2021-10-19T22:20:31.999+0000	[........................] benchmark.Twitter	752MB/49.1GB (1.5%)
