=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
e284e96443d24762380cba5145a8eafb49e5f76e96810493d43420285292dfc4
0
JODA: 101.385 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
5e68cb057d4585d5423023520868e134a0e423953515a55c0acf1ab556f4d452
2021-10-30T11:58:22.215+0000	connected to: mongodb://localhost/
2021-10-30T11:58:25.215+0000	[........................] benchmark.Twitter	42.9MB/49.1GB (0.1%)
2021-10-30T11:58:28.216+0000	[........................] benchmark.Twitter	89.4MB/49.1GB (0.2%)
2021-10-30T11:58:31.215+0000	[........................] benchmark.Twitter	138MB/49.1GB (0.3%)
2021-10-30T11:58:34.215+0000	[........................] benchmark.Twitter	187MB/49.1GB (0.4%)
2021-10-30T11:58:37.216+0000	[........................] benchmark.Twitter	238MB/49.1GB (0.5%)
2021-10-30T11:58:40.215+0000	[........................] benchmark.Twitter	287MB/49.1GB (0.6%)
2021-10-30T11:58:43.215+0000	[........................] benchmark.Twitter	335MB/49.1GB (0.7%)
2021-10-30T11:58:46.215+0000	[........................] benchmark.Twitter	384MB/49.1GB (0.8%)
2021-10-30T11:58:49.215+0000	[........................] benchmark.Twitter	432MB/49.1GB (0.9%)
2021-10-30T11:58:52.215+0000	[........................] benchmark.Twitter	481MB/49.1GB (1.0%)
2021-10-30T11:58:55.215+0000	[........................] benchmark.Twitter	532MB/49.1GB (1.1%)
2021-10-30T11:58:58.215+0000	[........................] benchmark.Twitter	585MB/49.1GB (1.2%)
2021-10-30T11:59:01.215+0000	[........................] benchmark.Twitter	636MB/49.1GB (1.3%)
2021-10-30T11:59:04.215+0000	[........................] benchmark.Twitter	684MB/49.1GB (1.4%)
2021-10-30T11:59:07.215+0000	[........................] benchmark.Twitter	733MB/49.1GB (1.5%)
2021-10-30T11:59:10.215+0000	[........................] benchmark.Twitter	782MB/49.1GB (1.6%)
2021-10-30T11:59:13.215+0000	[........................] benchmark.Twitter	831MB/49.1GB (1.7%)
2021-10-30T11:59:16.215+0000	[........................] benchmark.Twitter	881MB/49.1GB (1.8%)
2021-10-30T11:59:19.215+0000	[........................] benchmark.Twitter	931MB/49.1GB (1.9%)
2021-10-30T11:59:22.216+0000	[........................] benchmark.Twitter	981MB/49.1GB (2.0%)
2021-10-30T11:59:25.215+0000	[........................] benchmark.Twitter	1.01GB/49.1GB (2.1%)
2021-10-30T11:59:28.215+0000	[........................] benchmark.Twitter	1.06GB/49.1GB (2.2%)
2021-10-30T11:59:31.216+0000	[........................] benchmark.Twitter	1.11GB/49.1GB (2.3%)
2021-10-30T11:59:34.215+0000	[........................] benchmark.Twitter	1.16GB/49.1GB (2.4%)
2021-10-30T11:59:37.215+0000	[........................] benchmark.Twitter	1.21GB/49.1GB (2.5%)
2021-10-30T11:59:40.215+0000	[........................] benchmark.Twitter	1.25GB/49.1GB (2.6%)
2021-10-30T11:59:43.216+0000	[........................] benchmark.Twitter	1.30GB/49.1GB (2.7%)
2021-10-30T11:59:46.215+0000	[........................] benchmark.Twitter	1.35GB/49.1GB (2.8%)
2021-10-30T11:59:49.215+0000	[........................] benchmark.Twitter	1.40GB/49.1GB (2.9%)
2021-10-30T11:59:52.215+0000	[........................] benchmark.Twitter	1.45GB/49.1GB (3.0%)
2021-10-30T11:59:55.215+0000	[........................] benchmark.Twitter	1.50GB/49.1GB (3.1%)
2021-10-30T11:59:58.215+0000	[........................] benchmark.Twitter	1.55GB/49.1GB (3.2%)
2021-10-30T12:00:01.216+0000	[........................] benchmark.Twitter	1.60GB/49.1GB (3.2%)
2021-10-30T12:00:04.216+0000	[........................] benchmark.Twitter	1.64GB/49.1GB (3.3%)
2021-10-30T12:00:07.215+0000	[........................] benchmark.Twitter	1.69GB/49.1GB (3.4%)
2021-10-30T12:00:10.215+0000	[........................] benchmark.Twitter	1.74GB/49.1GB (3.5%)
2021-10-30T12:00:13.215+0000	[........................] benchmark.Twitter	1.79GB/49.1GB (3.6%)
2021-10-30T12:00:16.215+0000	[........................] benchmark.Twitter	1.84GB/49.1GB (3.7%)
2021-10-30T12:00:19.215+0000	[........................] benchmark.Twitter	1.88GB/49.1GB (3.8%)
2021-10-30T12:00:22.215+0000	[........................] benchmark.Twitter	1.93GB/49.1GB (3.9%)
2021-10-30T12:00:25.215+0000	[........................] benchmark.Twitter	1.98GB/49.1GB (4.0%)
2021-10-30T12:00:28.215+0000	[........................] benchmark.Twitter	2.03GB/49.1GB (4.1%)
2021-10-30T12:00:31.215+0000	[#.......................] benchmark.Twitter	2.07GB/49.1GB (4.2%)
2021-10-30T12:00:34.215+0000	[#.......................] benchmark.Twitter	2.10GB/49.1GB (4.3%)
2021-10-30T12:00:37.215+0000	[#.......................] benchmark.Twitter	2.14GB/49.1GB (4.4%)
2021-10-30T12:00:40.215+0000	[#.......................] benchmark.Twitter	2.18GB/49.1GB (4.4%)
2021-10-30T12:00:43.215+0000	[#.......................] benchmark.Twitter	2.21GB/49.1GB (4.5%)
2021-10-30T12:00:46.215+0000	[#.......................] benchmark.Twitter	2.25GB/49.1GB (4.6%)
2021-10-30T12:00:49.215+0000	[#.......................] benchmark.Twitter	2.29GB/49.1GB (4.7%)
2021-10-30T12:00:52.215+0000	[#.......................] benchmark.Twitter	2.33GB/49.1GB (4.8%)
2021-10-30T12:00:55.215+0000	[#.......................] benchmark.Twitter	2.38GB/49.1GB (4.8%)
2021-10-30T12:00:58.215+0000	[#.......................] benchmark.Twitter	2.43GB/49.1GB (4.9%)
2021-10-30T12:01:01.215+0000	[#.......................] benchmark.Twitter	2.48GB/49.1GB (5.0%)
2021-10-30T12:01:04.215+0000	[#.......................] benchmark.Twitter	2.53GB/49.1GB (5.1%)
2021-10-30T12:01:07.215+0000	[#.......................] benchmark.Twitter	2.58GB/49.1GB (5.2%)
2021-10-30T12:01:10.215+0000	[#.......................] benchmark.Twitter	2.63GB/49.1GB (5.3%)
2021-10-30T12:01:13.215+0000	[#.......................] benchmark.Twitter	2.68GB/49.1GB (5.4%)
2021-10-30T12:01:16.215+0000	[#.......................] benchmark.Twitter	2.72GB/49.1GB (5.5%)
2021-10-30T12:01:19.215+0000	[#.......................] benchmark.Twitter	2.77GB/49.1GB (5.6%)
2021-10-30T12:01:22.215+0000	[#.......................] benchmark.Twitter	2.82GB/49.1GB (5.7%)
2021-10-30T12:01:25.216+0000	[#.......................] benchmark.Twitter	2.87GB/49.1GB (5.8%)
2021-10-30T12:01:28.215+0000	[#.......................] benchmark.Twitter	2.92GB/49.1GB (5.9%)
2021-10-30T12:01:31.215+0000	[#.......................] benchmark.Twitter	2.97GB/49.1GB (6.0%)
2021-10-30T12:01:34.216+0000	[#.......................] benchmark.Twitter	3.02GB/49.1GB (6.2%)
2021-10-30T12:01:37.216+0000	[#.......................] benchmark.Twitter	3.07GB/49.1GB (6.3%)
2021-10-30T12:01:40.215+0000	[#.......................] benchmark.Twitter	3.12GB/49.1GB (6.3%)
2021-10-30T12:01:43.215+0000	[#.......................] benchmark.Twitter	3.17GB/49.1GB (6.4%)
2021-10-30T12:01:46.215+0000	[#.......................] benchmark.Twitter	3.22GB/49.1GB (6.5%)
2021-10-30T12:01:49.215+0000	[#.......................] benchmark.Twitter	3.26GB/49.1GB (6.6%)
2021-10-30T12:01:52.215+0000	[#.......................] benchmark.Twitter	3.31GB/49.1GB (6.7%)
2021-10-30T12:01:55.215+0000	[#.......................] benchmark.Twitter	3.36GB/49.1GB (6.8%)
2021-10-30T12:01:58.215+0000	[#.......................] benchmark.Twitter	3.41GB/49.1GB (6.9%)
2021-10-30T12:02:01.215+0000	[#.......................] benchmark.Twitter	3.46GB/49.1GB (7.0%)
2021-10-30T12:02:04.215+0000	[#.......................] benchmark.Twitter	3.51GB/49.1GB (7.1%)
2021-10-30T12:02:07.215+0000	[#.......................] benchmark.Twitter	3.56GB/49.1GB (7.2%)
2021-10-30T12:02:10.215+0000	[#.......................] benchmark.Twitter	3.60GB/49.1GB (7.3%)
2021-10-30T12:02:13.215+0000	[#.......................] benchmark.Twitter	3.65GB/49.1GB (7.4%)
2021-10-30T12:02:16.215+0000	[#.......................] benchmark.Twitter	3.70GB/49.1GB (7.5%)
2021-10-30T12:02:19.215+0000	[#.......................] benchmark.Twitter	3.75GB/49.1GB (7.6%)
2021-10-30T12:02:22.215+0000	[#.......................] benchmark.Twitter	3.80GB/49.1GB (7.7%)
2021-10-30T12:02:25.215+0000	[#.......................] benchmark.Twitter	3.84GB/49.1GB (7.8%)
2021-10-30T12:02:28.215+0000	[#.......................] benchmark.Twitter	3.89GB/49.1GB (7.9%)
2021-10-30T12:02:31.215+0000	[#.......................] benchmark.Twitter	3.94GB/49.1GB (8.0%)
2021-10-30T12:02:34.215+0000	[#.......................] benchmark.Twitter	4.00GB/49.1GB (8.1%)
2021-10-30T12:02:37.215+0000	[#.......................] benchmark.Twitter	4.04GB/49.1GB (8.2%)
2021-10-30T12:02:40.215+0000	[#.......................] benchmark.Twitter	4.09GB/49.1GB (8.3%)
2021-10-30T12:02:43.215+0000	[##......................] benchmark.Twitter	4.14GB/49.1GB (8.4%)
2021-10-30T12:02:46.215+0000	[##......................] benchmark.Twitter	4.19GB/49.1GB (8.5%)
2021-10-30T12:02:49.215+0000	[##......................] benchmark.Twitter	4.24GB/49.1GB (8.6%)
2021-10-30T12:02:52.215+0000	[##......................] benchmark.Twitter	4.29GB/49.1GB (8.7%)
2021-10-30T12:02:55.215+0000	[##......................] benchmark.Twitter	4.33GB/49.1GB (8.8%)
2021-10-30T12:02:58.215+0000	[##......................] benchmark.Twitter	4.38GB/49.1GB (8.9%)
2021-10-30T12:03:01.215+0000	[##......................] benchmark.Twitter	4.43GB/49.1GB (9.0%)
2021-10-30T12:03:04.215+0000	[##......................] benchmark.Twitter	4.48GB/49.1GB (9.1%)
2021-10-30T12:03:07.215+0000	[##......................] benchmark.Twitter	4.52GB/49.1GB (9.2%)
2021-10-30T12:03:10.215+0000	[##......................] benchmark.Twitter	4.57GB/49.1GB (9.3%)
2021-10-30T12:03:13.215+0000	[##......................] benchmark.Twitter	4.62GB/49.1GB (9.4%)
2021-10-30T12:03:16.215+0000	[##......................] benchmark.Twitter	4.67GB/49.1GB (9.5%)
2021-10-30T12:03:19.215+0000	[##......................] benchmark.Twitter	4.72GB/49.1GB (9.6%)
2021-10-30T12:03:22.215+0000	[##......................] benchmark.Twitter	4.76GB/49.1GB (9.7%)
2021-10-30T12:03:25.215+0000	[##......................] benchmark.Twitter	4.81GB/49.1GB (9.8%)
2021-10-30T12:03:28.215+0000	[##......................] benchmark.Twitter	4.86GB/49.1GB (9.9%)
2021-10-30T12:03:31.215+0000	[##......................] benchmark.Twitter	4.91GB/49.1GB (10.0%)
2021-10-30T12:03:34.215+0000	[##......................] benchmark.Twitter	4.96GB/49.1GB (10.1%)
2021-10-30T12:03:37.216+0000	[##......................] benchmark.Twitter	5.01GB/49.1GB (10.2%)
2021-10-30T12:03:40.215+0000	[##......................] benchmark.Twitter	5.06GB/49.1GB (10.3%)
2021-10-30T12:03:43.215+0000	[##......................] benchmark.Twitter	5.11GB/49.1GB (10.4%)
2021-10-30T12:03:46.215+0000	[##......................] benchmark.Twitter	5.16GB/49.1GB (10.5%)
2021-10-30T12:03:49.215+0000	[##......................] benchmark.Twitter	5.20GB/49.1GB (10.6%)
2021-10-30T12:03:52.216+0000	[##......................] benchmark.Twitter	5.25GB/49.1GB (10.7%)
2021-10-30T12:03:55.215+0000	[##......................] benchmark.Twitter	5.29GB/49.1GB (10.8%)
2021-10-30T12:03:58.215+0000	[##......................] benchmark.Twitter	5.33GB/49.1GB (10.9%)
2021-10-30T12:04:01.215+0000	[##......................] benchmark.Twitter	5.38GB/49.1GB (10.9%)
2021-10-30T12:04:04.215+0000	[##......................] benchmark.Twitter	5.41GB/49.1GB (11.0%)
2021-10-30T12:04:07.215+0000	[##......................] benchmark.Twitter	5.46GB/49.1GB (11.1%)
2021-10-30T12:04:10.215+0000	[##......................] benchmark.Twitter	5.50GB/49.1GB (11.2%)
2021-10-30T12:04:13.215+0000	[##......................] benchmark.Twitter	5.54GB/49.1GB (11.3%)
2021-10-30T12:04:16.215+0000	[##......................] benchmark.Twitter	5.58GB/49.1GB (11.4%)
2021-10-30T12:04:19.216+0000	[##......................] benchmark.Twitter	5.62GB/49.1GB (11.4%)
2021-10-30T12:04:22.218+0000	[##......................] benchmark.Twitter	5.66GB/49.1GB (11.5%)
2021-10-30T12:04:25.215+0000	[##......................] benchmark.Twitter	5.70GB/49.1GB (11.6%)
2021-10-30T12:04:28.215+0000	[##......................] benchmark.Twitter	5.74GB/49.1GB (11.7%)
2021-10-30T12:04:31.215+0000	[##......................] benchmark.Twitter	5.78GB/49.1GB (11.8%)
2021-10-30T12:04:34.215+0000	[##......................] benchmark.Twitter	5.82GB/49.1GB (11.8%)
2021-10-30T12:04:37.215+0000	[##......................] benchmark.Twitter	5.86GB/49.1GB (11.9%)
2021-10-30T12:04:40.215+0000	[##......................] benchmark.Twitter	5.90GB/49.1GB (12.0%)
2021-10-30T12:04:43.215+0000	[##......................] benchmark.Twitter	5.94GB/49.1GB (12.1%)
2021-10-30T12:04:46.215+0000	[##......................] benchmark.Twitter	5.99GB/49.1GB (12.2%)
2021-10-30T12:04:49.215+0000	[##......................] benchmark.Twitter	6.03GB/49.1GB (12.3%)
2021-10-30T12:04:52.215+0000	[##......................] benchmark.Twitter	6.08GB/49.1GB (12.4%)
2021-10-30T12:04:55.215+0000	[##......................] benchmark.Twitter	6.12GB/49.1GB (12.5%)
2021-10-30T12:04:58.215+0000	[###.....................] benchmark.Twitter	6.17GB/49.1GB (12.6%)
2021-10-30T12:05:01.215+0000	[###.....................] benchmark.Twitter	6.22GB/49.1GB (12.7%)
2021-10-30T12:05:04.215+0000	[###.....................] benchmark.Twitter	6.27GB/49.1GB (12.8%)
2021-10-30T12:05:07.215+0000	[###.....................] benchmark.Twitter	6.31GB/49.1GB (12.9%)
2021-10-30T12:05:10.215+0000	[###.....................] benchmark.Twitter	6.36GB/49.1GB (12.9%)
2021-10-30T12:05:13.215+0000	[###.....................] benchmark.Twitter	6.41GB/49.1GB (13.0%)
2021-10-30T12:05:16.215+0000	[###.....................] benchmark.Twitter	6.46GB/49.1GB (13.1%)
2021-10-30T12:05:19.215+0000	[###.....................] benchmark.Twitter	6.51GB/49.1GB (13.2%)
2021-10-30T12:05:22.215+0000	[###.....................] benchmark.Twitter	6.56GB/49.1GB (13.3%)
2021-10-30T12:05:25.215+0000	[###.....................] benchmark.Twitter	6.60GB/49.1GB (13.4%)
2021-10-30T12:05:28.215+0000	[###.....................] benchmark.Twitter	6.65GB/49.1GB (13.5%)
2021-10-30T12:05:31.215+0000	[###.....................] benchmark.Twitter	6.70GB/49.1GB (13.6%)
2021-10-30T12:05:34.215+0000	[###.....................] benchmark.Twitter	6.75GB/49.1GB (13.7%)
2021-10-30T12:05:37.215+0000	[###.....................] benchmark.Twitter	6.80GB/49.1GB (13.8%)
2021-10-30T12:05:40.215+0000	[###.....................] benchmark.Twitter	6.85GB/49.1GB (13.9%)
2021-10-30T12:05:43.215+0000	[###.....................] benchmark.Twitter	6.90GB/49.1GB (14.0%)
2021-10-30T12:05:46.215+0000	[###.....................] benchmark.Twitter	6.95GB/49.1GB (14.1%)
2021-10-30T12:05:49.215+0000	[###.....................] benchmark.Twitter	7.00GB/49.1GB (14.2%)
2021-10-30T12:05:52.215+0000	[###.....................] benchmark.Twitter	7.04GB/49.1GB (14.3%)
2021-10-30T12:05:55.215+0000	[###.....................] benchmark.Twitter	7.09GB/49.1GB (14.4%)
2021-10-30T12:05:58.215+0000	[###.....................] benchmark.Twitter	7.14GB/49.1GB (14.5%)
2021-10-30T12:06:01.215+0000	[###.....................] benchmark.Twitter	7.19GB/49.1GB (14.6%)
2021-10-30T12:06:04.215+0000	[###.....................] benchmark.Twitter	7.24GB/49.1GB (14.7%)
2021-10-30T12:06:07.215+0000	[###.....................] benchmark.Twitter	7.28GB/49.1GB (14.8%)
2021-10-30T12:06:10.215+0000	[###.....................] benchmark.Twitter	7.34GB/49.1GB (14.9%)
2021-10-30T12:06:13.215+0000	[###.....................] benchmark.Twitter	7.38GB/49.1GB (15.0%)
2021-10-30T12:06:16.215+0000	[###.....................] benchmark.Twitter	7.43GB/49.1GB (15.1%)
2021-10-30T12:06:19.215+0000	[###.....................] benchmark.Twitter	7.48GB/49.1GB (15.2%)
2021-10-30T12:06:22.215+0000	[###.....................] benchmark.Twitter	7.53GB/49.1GB (15.3%)
2021-10-30T12:06:25.215+0000	[###.....................] benchmark.Twitter	7.58GB/49.1GB (15.4%)
2021-10-30T12:06:28.215+0000	[###.....................] benchmark.Twitter	7.63GB/49.1GB (15.5%)
2021-10-30T12:06:31.215+0000	[###.....................] benchmark.Twitter	7.67GB/49.1GB (15.6%)
2021-10-30T12:06:34.215+0000	[###.....................] benchmark.Twitter	7.72GB/49.1GB (15.7%)
2021-10-30T12:06:37.215+0000	[###.....................] benchmark.Twitter	7.77GB/49.1GB (15.8%)
2021-10-30T12:06:40.215+0000	[###.....................] benchmark.Twitter	7.82GB/49.1GB (15.9%)
2021-10-30T12:06:43.215+0000	[###.....................] benchmark.Twitter	7.87GB/49.1GB (16.0%)
2021-10-30T12:06:46.215+0000	[###.....................] benchmark.Twitter	7.92GB/49.1GB (16.1%)
2021-10-30T12:06:49.215+0000	[###.....................] benchmark.Twitter	7.97GB/49.1GB (16.2%)
2021-10-30T12:06:52.215+0000	[###.....................] benchmark.Twitter	8.02GB/49.1GB (16.3%)
2021-10-30T12:06:55.215+0000	[###.....................] benchmark.Twitter	8.06GB/49.1GB (16.4%)
2021-10-30T12:06:58.215+0000	[###.....................] benchmark.Twitter	8.11GB/49.1GB (16.5%)
2021-10-30T12:07:01.215+0000	[###.....................] benchmark.Twitter	8.16GB/49.1GB (16.6%)
2021-10-30T12:07:04.216+0000	[####....................] benchmark.Twitter	8.21GB/49.1GB (16.7%)
2021-10-30T12:07:07.215+0000	[####....................] benchmark.Twitter	8.26GB/49.1GB (16.8%)
2021-10-30T12:07:10.215+0000	[####....................] benchmark.Twitter	8.31GB/49.1GB (16.9%)
2021-10-30T12:07:13.215+0000	[####....................] benchmark.Twitter	8.35GB/49.1GB (17.0%)
2021-10-30T12:07:16.215+0000	[####....................] benchmark.Twitter	8.40GB/49.1GB (17.1%)
2021-10-30T12:07:19.215+0000	[####....................] benchmark.Twitter	8.45GB/49.1GB (17.2%)
2021-10-30T12:07:22.215+0000	[####....................] benchmark.Twitter	8.50GB/49.1GB (17.3%)
2021-10-30T12:07:25.215+0000	[####....................] benchmark.Twitter	8.55GB/49.1GB (17.4%)
2021-10-30T12:07:28.215+0000	[####....................] benchmark.Twitter	8.59GB/49.1GB (17.5%)
2021-10-30T12:07:31.215+0000	[####....................] benchmark.Twitter	8.64GB/49.1GB (17.6%)
2021-10-30T12:07:34.215+0000	[####....................] benchmark.Twitter	8.69GB/49.1GB (17.7%)
2021-10-30T12:07:37.215+0000	[####....................] benchmark.Twitter	8.74GB/49.1GB (17.8%)
2021-10-30T12:07:40.216+0000	[####....................] benchmark.Twitter	8.78GB/49.1GB (17.9%)
2021-10-30T12:07:43.215+0000	[####....................] benchmark.Twitter	8.83GB/49.1GB (18.0%)
2021-10-30T12:07:46.215+0000	[####....................] benchmark.Twitter	8.87GB/49.1GB (18.1%)
2021-10-30T12:07:49.216+0000	[####....................] benchmark.Twitter	8.92GB/49.1GB (18.2%)
2021-10-30T12:07:52.215+0000	[####....................] benchmark.Twitter	8.96GB/49.1GB (18.2%)
2021-10-30T12:07:55.216+0000	[####....................] benchmark.Twitter	9.00GB/49.1GB (18.3%)
2021-10-30T12:07:58.215+0000	[####....................] benchmark.Twitter	9.04GB/49.1GB (18.4%)
2021-10-30T12:08:01.216+0000	[####....................] benchmark.Twitter	9.08GB/49.1GB (18.5%)
2021-10-30T12:08:04.216+0000	[####....................] benchmark.Twitter	9.11GB/49.1GB (18.6%)
2021-10-30T12:08:07.215+0000	[####....................] benchmark.Twitter	9.15GB/49.1GB (18.6%)
2021-10-30T12:08:10.215+0000	[####....................] benchmark.Twitter	9.19GB/49.1GB (18.7%)
