=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
31aaef6826f533a154045e8ba87dd80f8ed750e34937d570faf6315a52a461aa
0
JODA: 109.245 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
e8c87dafd60c0cd393b3aff2cf1cbe37ea2d1d5de37d9736af5a628d8ec407aa
2021-10-30T20:54:17.814+0000	connected to: mongodb://localhost/
2021-10-30T20:54:20.815+0000	[........................] benchmark.Twitter	42.9MB/49.1GB (0.1%)
2021-10-30T20:54:23.815+0000	[........................] benchmark.Twitter	89.4MB/49.1GB (0.2%)
2021-10-30T20:54:26.815+0000	[........................] benchmark.Twitter	139MB/49.1GB (0.3%)
2021-10-30T20:54:29.815+0000	[........................] benchmark.Twitter	190MB/49.1GB (0.4%)
2021-10-30T20:54:32.815+0000	[........................] benchmark.Twitter	239MB/49.1GB (0.5%)
2021-10-30T20:54:35.814+0000	[........................] benchmark.Twitter	289MB/49.1GB (0.6%)
2021-10-30T20:54:38.815+0000	[........................] benchmark.Twitter	339MB/49.1GB (0.7%)
2021-10-30T20:54:41.816+0000	[........................] benchmark.Twitter	388MB/49.1GB (0.8%)
2021-10-30T20:54:44.815+0000	[........................] benchmark.Twitter	438MB/49.1GB (0.9%)
2021-10-30T20:54:47.815+0000	[........................] benchmark.Twitter	488MB/49.1GB (1.0%)
2021-10-30T20:54:50.815+0000	[........................] benchmark.Twitter	538MB/49.1GB (1.1%)
2021-10-30T20:54:53.815+0000	[........................] benchmark.Twitter	589MB/49.1GB (1.2%)
2021-10-30T20:54:56.814+0000	[........................] benchmark.Twitter	639MB/49.1GB (1.3%)
2021-10-30T20:54:59.815+0000	[........................] benchmark.Twitter	689MB/49.1GB (1.4%)
2021-10-30T20:55:02.815+0000	[........................] benchmark.Twitter	738MB/49.1GB (1.5%)
2021-10-30T20:55:05.814+0000	[........................] benchmark.Twitter	789MB/49.1GB (1.6%)
2021-10-30T20:55:08.814+0000	[........................] benchmark.Twitter	838MB/49.1GB (1.7%)
2021-10-30T20:55:11.815+0000	[........................] benchmark.Twitter	888MB/49.1GB (1.8%)
