=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
cf9f494e036a04f6455e249221fa64659ea00e7963f10240de0886b5e1422eea
0
JODA: 95.1758 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
12c6119d9f55976ab3148169c3e5b581c804ecc8ed368979bd4ac66daae1b173
2021-10-25T22:23:10.708+0000	connected to: mongodb://localhost/
2021-10-25T22:23:13.708+0000	[........................] benchmark.Twitter	39.4MB/49.1GB (0.1%)
2021-10-25T22:23:16.708+0000	[........................] benchmark.Twitter	83.6MB/49.1GB (0.2%)
2021-10-25T22:23:19.709+0000	[........................] benchmark.Twitter	129MB/49.1GB (0.3%)
2021-10-25T22:23:22.709+0000	[........................] benchmark.Twitter	175MB/49.1GB (0.3%)
2021-10-25T22:23:25.708+0000	[........................] benchmark.Twitter	221MB/49.1GB (0.4%)
2021-10-25T22:23:28.708+0000	[........................] benchmark.Twitter	268MB/49.1GB (0.5%)
2021-10-25T22:23:31.708+0000	[........................] benchmark.Twitter	314MB/49.1GB (0.6%)
2021-10-25T22:23:34.708+0000	[........................] benchmark.Twitter	360MB/49.1GB (0.7%)
2021-10-25T22:23:37.708+0000	[........................] benchmark.Twitter	407MB/49.1GB (0.8%)
2021-10-25T22:23:40.709+0000	[........................] benchmark.Twitter	453MB/49.1GB (0.9%)
2021-10-25T22:23:43.708+0000	[........................] benchmark.Twitter	499MB/49.1GB (1.0%)
2021-10-25T22:23:46.708+0000	[........................] benchmark.Twitter	544MB/49.1GB (1.1%)
2021-10-25T22:23:49.708+0000	[........................] benchmark.Twitter	590MB/49.1GB (1.2%)
2021-10-25T22:23:52.709+0000	[........................] benchmark.Twitter	636MB/49.1GB (1.3%)
2021-10-25T22:23:55.708+0000	[........................] benchmark.Twitter	682MB/49.1GB (1.4%)
2021-10-25T22:23:58.708+0000	[........................] benchmark.Twitter	730MB/49.1GB (1.5%)
2021-10-25T22:24:01.708+0000	[........................] benchmark.Twitter	777MB/49.1GB (1.5%)
2021-10-25T22:24:04.709+0000	[........................] benchmark.Twitter	822MB/49.1GB (1.6%)
2021-10-25T22:24:07.709+0000	[........................] benchmark.Twitter	870MB/49.1GB (1.7%)
2021-10-25T22:24:10.709+0000	[........................] benchmark.Twitter	917MB/49.1GB (1.8%)
2021-10-25T22:24:13.708+0000	[........................] benchmark.Twitter	970MB/49.1GB (1.9%)
2021-10-25T22:24:16.709+0000	[........................] benchmark.Twitter	1016MB/49.1GB (2.0%)
2021-10-25T22:24:19.708+0000	[........................] benchmark.Twitter	1.04GB/49.1GB (2.1%)
2021-10-25T22:24:22.708+0000	[........................] benchmark.Twitter	1.08GB/49.1GB (2.2%)
