=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
447fb8736d723dbc707903e03c26a18ffe50f78e61419e1f8f9cf43a973d9c80
0
JODA: 96.2898 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
ba2c32c2d640dec5d3ae62d162bb43a5f2c5bbfebf42076af2011a8c16fa3daa
2021-11-01T17:28:43.356+0000	connected to: mongodb://localhost/
2021-11-01T17:28:46.357+0000	[........................] benchmark.Twitter	40.4MB/49.1GB (0.1%)
2021-11-01T17:28:49.357+0000	[........................] benchmark.Twitter	85.0MB/49.1GB (0.2%)
2021-11-01T17:28:52.357+0000	[........................] benchmark.Twitter	132MB/49.1GB (0.3%)
2021-11-01T17:28:55.357+0000	[........................] benchmark.Twitter	179MB/49.1GB (0.4%)
2021-11-01T17:28:58.356+0000	[........................] benchmark.Twitter	227MB/49.1GB (0.5%)
2021-11-01T17:29:01.357+0000	[........................] benchmark.Twitter	275MB/49.1GB (0.5%)
2021-11-01T17:29:04.356+0000	[........................] benchmark.Twitter	322MB/49.1GB (0.6%)
2021-11-01T17:29:07.357+0000	[........................] benchmark.Twitter	372MB/49.1GB (0.7%)
2021-11-01T17:29:10.356+0000	[........................] benchmark.Twitter	417MB/49.1GB (0.8%)
2021-11-01T17:29:13.357+0000	[........................] benchmark.Twitter	465MB/49.1GB (0.9%)
2021-11-01T17:29:16.357+0000	[........................] benchmark.Twitter	514MB/49.1GB (1.0%)
2021-11-01T17:29:19.356+0000	[........................] benchmark.Twitter	560MB/49.1GB (1.1%)
2021-11-01T17:29:22.357+0000	[........................] benchmark.Twitter	608MB/49.1GB (1.2%)
2021-11-01T17:29:25.357+0000	[........................] benchmark.Twitter	657MB/49.1GB (1.3%)
2021-11-01T17:29:28.357+0000	[........................] benchmark.Twitter	706MB/49.1GB (1.4%)
2021-11-01T17:29:31.356+0000	[........................] benchmark.Twitter	756MB/49.1GB (1.5%)
2021-11-01T17:29:34.356+0000	[........................] benchmark.Twitter	804MB/49.1GB (1.6%)
2021-11-01T17:29:37.356+0000	[........................] benchmark.Twitter	853MB/49.1GB (1.7%)
2021-11-01T17:29:40.356+0000	[........................] benchmark.Twitter	902MB/49.1GB (1.8%)
2021-11-01T17:29:43.357+0000	[........................] benchmark.Twitter	951MB/49.1GB (1.9%)
2021-11-01T17:29:46.356+0000	[........................] benchmark.Twitter	1003MB/49.1GB (2.0%)
2021-11-01T17:29:49.357+0000	[........................] benchmark.Twitter	1.03GB/49.1GB (2.1%)
2021-11-01T17:29:52.357+0000	[........................] benchmark.Twitter	1.07GB/49.1GB (2.2%)
2021-11-01T17:29:55.356+0000	[........................] benchmark.Twitter	1.12GB/49.1GB (2.3%)
2021-11-01T17:29:58.357+0000	[........................] benchmark.Twitter	1.17GB/49.1GB (2.4%)
2021-11-01T17:30:01.357+0000	[........................] benchmark.Twitter	1.22GB/49.1GB (2.5%)
2021-11-01T17:30:04.357+0000	[........................] benchmark.Twitter	1.26GB/49.1GB (2.6%)
2021-11-01T17:30:07.356+0000	[........................] benchmark.Twitter	1.31GB/49.1GB (2.7%)
2021-11-01T17:30:10.357+0000	[........................] benchmark.Twitter	1.36GB/49.1GB (2.8%)
2021-11-01T17:30:13.356+0000	[........................] benchmark.Twitter	1.40GB/49.1GB (2.9%)
2021-11-01T17:30:16.356+0000	[........................] benchmark.Twitter	1.45GB/49.1GB (2.9%)
2021-11-01T17:30:19.356+0000	[........................] benchmark.Twitter	1.49GB/49.1GB (3.0%)
2021-11-01T17:30:22.357+0000	[........................] benchmark.Twitter	1.54GB/49.1GB (3.1%)
2021-11-01T17:30:25.356+0000	[........................] benchmark.Twitter	1.59GB/49.1GB (3.2%)
2021-11-01T17:30:28.356+0000	[........................] benchmark.Twitter	1.64GB/49.1GB (3.3%)
2021-11-01T17:30:31.356+0000	[........................] benchmark.Twitter	1.68GB/49.1GB (3.4%)
2021-11-01T17:30:34.356+0000	[........................] benchmark.Twitter	1.73GB/49.1GB (3.5%)
2021-11-01T17:30:37.356+0000	[........................] benchmark.Twitter	1.78GB/49.1GB (3.6%)
