=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
f21fec5f8b1ca128183cb06f74a9eb9a7faebf1de6f86f46f9af07d7de166606
0
JODA: 94.9895 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
18baff87d8449fceda22287881d0b8c07f9707d946e273b1b12466c71147d6ae
2021-10-21T06:25:24.181+0000	connected to: mongodb://localhost/
2021-10-21T06:25:27.181+0000	[........................] benchmark.Twitter	40.5MB/49.1GB (0.1%)
2021-10-21T06:25:30.182+0000	[........................] benchmark.Twitter	85.7MB/49.1GB (0.2%)
2021-10-21T06:25:33.181+0000	[........................] benchmark.Twitter	134MB/49.1GB (0.3%)
2021-10-21T06:25:36.181+0000	[........................] benchmark.Twitter	184MB/49.1GB (0.4%)
2021-10-21T06:25:39.183+0000	[........................] benchmark.Twitter	231MB/49.1GB (0.5%)
2021-10-21T06:25:42.181+0000	[........................] benchmark.Twitter	279MB/49.1GB (0.6%)
2021-10-21T06:25:45.181+0000	[........................] benchmark.Twitter	327MB/49.1GB (0.6%)
2021-10-21T06:25:48.181+0000	[........................] benchmark.Twitter	376MB/49.1GB (0.7%)
2021-10-21T06:25:51.182+0000	[........................] benchmark.Twitter	425MB/49.1GB (0.8%)
2021-10-21T06:25:54.181+0000	[........................] benchmark.Twitter	473MB/49.1GB (0.9%)
2021-10-21T06:25:57.181+0000	[........................] benchmark.Twitter	522MB/49.1GB (1.0%)
2021-10-21T06:26:00.181+0000	[........................] benchmark.Twitter	571MB/49.1GB (1.1%)
2021-10-21T06:26:03.181+0000	[........................] benchmark.Twitter	621MB/49.1GB (1.2%)
2021-10-21T06:26:06.181+0000	[........................] benchmark.Twitter	669MB/49.1GB (1.3%)
2021-10-21T06:26:09.181+0000	[........................] benchmark.Twitter	719MB/49.1GB (1.4%)
2021-10-21T06:26:12.181+0000	[........................] benchmark.Twitter	768MB/49.1GB (1.5%)
2021-10-21T06:26:15.181+0000	[........................] benchmark.Twitter	818MB/49.1GB (1.6%)
2021-10-21T06:26:18.182+0000	[........................] benchmark.Twitter	867MB/49.1GB (1.7%)
2021-10-21T06:26:21.182+0000	[........................] benchmark.Twitter	917MB/49.1GB (1.8%)
2021-10-21T06:26:24.181+0000	[........................] benchmark.Twitter	965MB/49.1GB (1.9%)
2021-10-21T06:26:27.182+0000	[........................] benchmark.Twitter	1018MB/49.1GB (2.0%)
2021-10-21T06:26:30.181+0000	[........................] benchmark.Twitter	1.04GB/49.1GB (2.1%)
2021-10-21T06:26:33.181+0000	[........................] benchmark.Twitter	1.09GB/49.1GB (2.2%)
2021-10-21T06:26:36.181+0000	[........................] benchmark.Twitter	1.13GB/49.1GB (2.3%)
2021-10-21T06:26:39.182+0000	[........................] benchmark.Twitter	1.18GB/49.1GB (2.4%)
2021-10-21T06:26:42.181+0000	[........................] benchmark.Twitter	1.22GB/49.1GB (2.5%)
2021-10-21T06:26:45.181+0000	[........................] benchmark.Twitter	1.27GB/49.1GB (2.6%)
2021-10-21T06:26:48.182+0000	[........................] benchmark.Twitter	1.32GB/49.1GB (2.7%)
2021-10-21T06:26:51.181+0000	[........................] benchmark.Twitter	1.37GB/49.1GB (2.8%)
2021-10-21T06:26:54.181+0000	[........................] benchmark.Twitter	1.41GB/49.1GB (2.9%)
2021-10-21T06:26:57.181+0000	[........................] benchmark.Twitter	1.46GB/49.1GB (3.0%)
2021-10-21T06:27:00.181+0000	[........................] benchmark.Twitter	1.51GB/49.1GB (3.1%)
2021-10-21T06:27:03.181+0000	[........................] benchmark.Twitter	1.55GB/49.1GB (3.2%)
2021-10-21T06:27:06.181+0000	[........................] benchmark.Twitter	1.60GB/49.1GB (3.3%)
2021-10-21T06:27:09.181+0000	[........................] benchmark.Twitter	1.65GB/49.1GB (3.4%)
2021-10-21T06:27:12.181+0000	[........................] benchmark.Twitter	1.69GB/49.1GB (3.4%)
2021-10-21T06:27:15.181+0000	[........................] benchmark.Twitter	1.74GB/49.1GB (3.5%)
2021-10-21T06:27:18.181+0000	[........................] benchmark.Twitter	1.79GB/49.1GB (3.6%)
2021-10-21T06:27:21.181+0000	[........................] benchmark.Twitter	1.83GB/49.1GB (3.7%)
2021-10-21T06:27:24.181+0000	[........................] benchmark.Twitter	1.88GB/49.1GB (3.8%)
2021-10-21T06:27:27.181+0000	[........................] benchmark.Twitter	1.93GB/49.1GB (3.9%)
2021-10-21T06:27:30.181+0000	[........................] benchmark.Twitter	1.98GB/49.1GB (4.0%)
2021-10-21T06:27:33.181+0000	[........................] benchmark.Twitter	2.02GB/49.1GB (4.1%)
2021-10-21T06:27:36.181+0000	[#.......................] benchmark.Twitter	2.05GB/49.1GB (4.2%)
2021-10-21T06:27:39.182+0000	[#.......................] benchmark.Twitter	2.09GB/49.1GB (4.2%)
2021-10-21T06:27:42.181+0000	[#.......................] benchmark.Twitter	2.12GB/49.1GB (4.3%)
2021-10-21T06:27:45.181+0000	[#.......................] benchmark.Twitter	2.16GB/49.1GB (4.4%)
2021-10-21T06:27:48.181+0000	[#.......................] benchmark.Twitter	2.19GB/49.1GB (4.5%)
