=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
884a4ddbd150444b2c7a7e38d625540ccc3f4313d8251f39115a20ac8c379886
0
JODA: 90.6082 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
3f67aefb2206c6c307296c8f8e40fc532ff4917f2b94945862de7f535ce0765a
2021-10-21T10:00:14.490+0000	connected to: mongodb://localhost/
2021-10-21T10:00:17.490+0000	[........................] benchmark.Twitter	41.4MB/49.1GB (0.1%)
2021-10-21T10:00:20.490+0000	[........................] benchmark.Twitter	87.2MB/49.1GB (0.2%)
2021-10-21T10:00:23.490+0000	[........................] benchmark.Twitter	136MB/49.1GB (0.3%)
2021-10-21T10:00:26.491+0000	[........................] benchmark.Twitter	184MB/49.1GB (0.4%)
2021-10-21T10:00:29.490+0000	[........................] benchmark.Twitter	231MB/49.1GB (0.5%)
2021-10-21T10:00:32.490+0000	[........................] benchmark.Twitter	281MB/49.1GB (0.6%)
2021-10-21T10:00:35.490+0000	[........................] benchmark.Twitter	330MB/49.1GB (0.7%)
2021-10-21T10:00:38.490+0000	[........................] benchmark.Twitter	380MB/49.1GB (0.8%)
2021-10-21T10:00:41.490+0000	[........................] benchmark.Twitter	427MB/49.1GB (0.8%)
2021-10-21T10:00:44.491+0000	[........................] benchmark.Twitter	477MB/49.1GB (0.9%)
2021-10-21T10:00:47.490+0000	[........................] benchmark.Twitter	525MB/49.1GB (1.0%)
2021-10-21T10:00:50.491+0000	[........................] benchmark.Twitter	573MB/49.1GB (1.1%)
2021-10-21T10:00:53.491+0000	[........................] benchmark.Twitter	624MB/49.1GB (1.2%)
2021-10-21T10:00:56.490+0000	[........................] benchmark.Twitter	671MB/49.1GB (1.3%)
2021-10-21T10:00:59.490+0000	[........................] benchmark.Twitter	719MB/49.1GB (1.4%)
2021-10-21T10:01:02.490+0000	[........................] benchmark.Twitter	768MB/49.1GB (1.5%)
2021-10-21T10:01:05.490+0000	[........................] benchmark.Twitter	818MB/49.1GB (1.6%)
2021-10-21T10:01:08.490+0000	[........................] benchmark.Twitter	865MB/49.1GB (1.7%)
2021-10-21T10:01:11.490+0000	[........................] benchmark.Twitter	915MB/49.1GB (1.8%)
2021-10-21T10:01:14.490+0000	[........................] benchmark.Twitter	965MB/49.1GB (1.9%)
2021-10-21T10:01:17.491+0000	[........................] benchmark.Twitter	1017MB/49.1GB (2.0%)
2021-10-21T10:01:20.491+0000	[........................] benchmark.Twitter	1.04GB/49.1GB (2.1%)
2021-10-21T10:01:23.490+0000	[........................] benchmark.Twitter	1.09GB/49.1GB (2.2%)
2021-10-21T10:01:26.490+0000	[........................] benchmark.Twitter	1.13GB/49.1GB (2.3%)
2021-10-21T10:01:29.490+0000	[........................] benchmark.Twitter	1.18GB/49.1GB (2.4%)
2021-10-21T10:01:32.491+0000	[........................] benchmark.Twitter	1.23GB/49.1GB (2.5%)
2021-10-21T10:01:35.490+0000	[........................] benchmark.Twitter	1.28GB/49.1GB (2.6%)
2021-10-21T10:01:38.490+0000	[........................] benchmark.Twitter	1.32GB/49.1GB (2.7%)
2021-10-21T10:01:41.490+0000	[........................] benchmark.Twitter	1.37GB/49.1GB (2.8%)
2021-10-21T10:01:44.490+0000	[........................] benchmark.Twitter	1.42GB/49.1GB (2.9%)
2021-10-21T10:01:47.490+0000	[........................] benchmark.Twitter	1.47GB/49.1GB (3.0%)
2021-10-21T10:01:50.490+0000	[........................] benchmark.Twitter	1.51GB/49.1GB (3.1%)
2021-10-21T10:01:53.490+0000	[........................] benchmark.Twitter	1.56GB/49.1GB (3.2%)
2021-10-21T10:01:56.490+0000	[........................] benchmark.Twitter	1.61GB/49.1GB (3.3%)
2021-10-21T10:01:59.490+0000	[........................] benchmark.Twitter	1.65GB/49.1GB (3.4%)
2021-10-21T10:02:02.491+0000	[........................] benchmark.Twitter	1.70GB/49.1GB (3.5%)
2021-10-21T10:02:05.490+0000	[........................] benchmark.Twitter	1.75GB/49.1GB (3.6%)
2021-10-21T10:02:08.490+0000	[........................] benchmark.Twitter	1.80GB/49.1GB (3.7%)
2021-10-21T10:02:11.490+0000	[........................] benchmark.Twitter	1.85GB/49.1GB (3.8%)
2021-10-21T10:02:14.491+0000	[........................] benchmark.Twitter	1.90GB/49.1GB (3.9%)
2021-10-21T10:02:17.490+0000	[........................] benchmark.Twitter	1.94GB/49.1GB (4.0%)
2021-10-21T10:02:20.490+0000	[........................] benchmark.Twitter	1.99GB/49.1GB (4.1%)
2021-10-21T10:02:23.490+0000	[........................] benchmark.Twitter	2.03GB/49.1GB (4.1%)
2021-10-21T10:02:26.490+0000	[#.......................] benchmark.Twitter	2.07GB/49.1GB (4.2%)
2021-10-21T10:02:29.490+0000	[#.......................] benchmark.Twitter	2.10GB/49.1GB (4.3%)
2021-10-21T10:02:32.490+0000	[#.......................] benchmark.Twitter	2.14GB/49.1GB (4.4%)
2021-10-21T10:02:35.490+0000	[#.......................] benchmark.Twitter	2.17GB/49.1GB (4.4%)
2021-10-21T10:02:38.490+0000	[#.......................] benchmark.Twitter	2.21GB/49.1GB (4.5%)
2021-10-21T10:02:41.490+0000	[#.......................] benchmark.Twitter	2.24GB/49.1GB (4.6%)
2021-10-21T10:02:44.490+0000	[#.......................] benchmark.Twitter	2.28GB/49.1GB (4.6%)
2021-10-21T10:02:47.490+0000	[#.......................] benchmark.Twitter	2.32GB/49.1GB (4.7%)
2021-10-21T10:02:50.490+0000	[#.......................] benchmark.Twitter	2.37GB/49.1GB (4.8%)
2021-10-21T10:02:53.491+0000	[#.......................] benchmark.Twitter	2.41GB/49.1GB (4.9%)
2021-10-21T10:02:56.491+0000	[#.......................] benchmark.Twitter	2.46GB/49.1GB (5.0%)
2021-10-21T10:02:59.490+0000	[#.......................] benchmark.Twitter	2.51GB/49.1GB (5.1%)
2021-10-21T10:03:02.490+0000	[#.......................] benchmark.Twitter	2.56GB/49.1GB (5.2%)
2021-10-21T10:03:05.490+0000	[#.......................] benchmark.Twitter	2.60GB/49.1GB (5.3%)
2021-10-21T10:03:08.490+0000	[#.......................] benchmark.Twitter	2.65GB/49.1GB (5.4%)
2021-10-21T10:03:11.491+0000	[#.......................] benchmark.Twitter	2.70GB/49.1GB (5.5%)
2021-10-21T10:03:14.490+0000	[#.......................] benchmark.Twitter	2.75GB/49.1GB (5.6%)
2021-10-21T10:03:17.491+0000	[#.......................] benchmark.Twitter	2.79GB/49.1GB (5.7%)
2021-10-21T10:03:20.491+0000	[#.......................] benchmark.Twitter	2.84GB/49.1GB (5.8%)
2021-10-21T10:03:23.491+0000	[#.......................] benchmark.Twitter	2.89GB/49.1GB (5.9%)
2021-10-21T10:03:26.491+0000	[#.......................] benchmark.Twitter	2.94GB/49.1GB (6.0%)
2021-10-21T10:03:29.490+0000	[#.......................] benchmark.Twitter	2.99GB/49.1GB (6.1%)
2021-10-21T10:03:32.491+0000	[#.......................] benchmark.Twitter	3.03GB/49.1GB (6.2%)
2021-10-21T10:03:35.490+0000	[#.......................] benchmark.Twitter	3.08GB/49.1GB (6.3%)
2021-10-21T10:03:38.490+0000	[#.......................] benchmark.Twitter	3.13GB/49.1GB (6.4%)
