=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
851122fc63b9c65c9645df7e5f2a85bbef8133a576f335f8ccad2f41e8e437f1
0
JODA: 141.655 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
88a1941ca3f798b619a4b9e102b97a78cc334cfcfd399adedb4f767ca35f04f5
2021-10-28T15:45:42.121+0000	connected to: mongodb://localhost/
2021-10-28T15:45:45.121+0000	[........................] benchmark.Twitter	67.6MB/49.1GB (0.1%)
2021-10-28T15:45:48.121+0000	[........................] benchmark.Twitter	142MB/49.1GB (0.3%)
2021-10-28T15:45:51.121+0000	[........................] benchmark.Twitter	217MB/49.1GB (0.4%)
2021-10-28T15:45:54.121+0000	[........................] benchmark.Twitter	291MB/49.1GB (0.6%)
2021-10-28T15:45:57.121+0000	[........................] benchmark.Twitter	367MB/49.1GB (0.7%)
2021-10-28T15:46:00.121+0000	[........................] benchmark.Twitter	440MB/49.1GB (0.9%)
2021-10-28T15:46:03.121+0000	[........................] benchmark.Twitter	515MB/49.1GB (1.0%)
2021-10-28T15:46:06.121+0000	[........................] benchmark.Twitter	593MB/49.1GB (1.2%)
2021-10-28T15:46:09.121+0000	[........................] benchmark.Twitter	669MB/49.1GB (1.3%)
2021-10-28T15:46:12.121+0000	[........................] benchmark.Twitter	745MB/49.1GB (1.5%)
2021-10-28T15:46:15.121+0000	[........................] benchmark.Twitter	820MB/49.1GB (1.6%)
2021-10-28T15:46:18.121+0000	[........................] benchmark.Twitter	894MB/49.1GB (1.8%)
2021-10-28T15:46:21.122+0000	[........................] benchmark.Twitter	970MB/49.1GB (1.9%)
2021-10-28T15:46:24.121+0000	[........................] benchmark.Twitter	1.02GB/49.1GB (2.1%)
2021-10-28T15:46:27.121+0000	[........................] benchmark.Twitter	1.09GB/49.1GB (2.2%)
2021-10-28T15:46:30.121+0000	[........................] benchmark.Twitter	1.17GB/49.1GB (2.4%)
2021-10-28T15:46:33.121+0000	[........................] benchmark.Twitter	1.24GB/49.1GB (2.5%)
2021-10-28T15:46:36.121+0000	[........................] benchmark.Twitter	1.32GB/49.1GB (2.7%)
2021-10-28T15:46:39.121+0000	[........................] benchmark.Twitter	1.39GB/49.1GB (2.8%)
2021-10-28T15:46:42.123+0000	[........................] benchmark.Twitter	1.46GB/49.1GB (3.0%)
2021-10-28T15:46:45.121+0000	[........................] benchmark.Twitter	1.53GB/49.1GB (3.1%)
2021-10-28T15:46:48.121+0000	[........................] benchmark.Twitter	1.61GB/49.1GB (3.3%)
2021-10-28T15:46:51.122+0000	[........................] benchmark.Twitter	1.68GB/49.1GB (3.4%)
2021-10-28T15:46:54.121+0000	[........................] benchmark.Twitter	1.75GB/49.1GB (3.6%)
2021-10-28T15:46:57.121+0000	[........................] benchmark.Twitter	1.83GB/49.1GB (3.7%)
2021-10-28T15:47:00.121+0000	[........................] benchmark.Twitter	1.90GB/49.1GB (3.9%)
