=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
500f25211cab891de35a8651434c6d7d2bd996773f92fecc23c0f47b6ec48309
0
JODA: 141.289 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
281630cc3d32aa7e4f312fca3abcd15cea4f872cc8fcda1f54f6e2944be0ea68
2021-10-19T12:28:10.084+0000	connected to: mongodb://localhost/
2021-10-19T12:28:13.084+0000	[........................] benchmark.Twitter	66.0MB/49.1GB (0.1%)
2021-10-19T12:28:16.084+0000	[........................] benchmark.Twitter	138MB/49.1GB (0.3%)
2021-10-19T12:28:19.084+0000	[........................] benchmark.Twitter	212MB/49.1GB (0.4%)
2021-10-19T12:28:22.084+0000	[........................] benchmark.Twitter	291MB/49.1GB (0.6%)
2021-10-19T12:28:25.084+0000	[........................] benchmark.Twitter	366MB/49.1GB (0.7%)
2021-10-19T12:28:28.084+0000	[........................] benchmark.Twitter	440MB/49.1GB (0.9%)
2021-10-19T12:28:31.084+0000	[........................] benchmark.Twitter	514MB/49.1GB (1.0%)
2021-10-19T12:28:34.084+0000	[........................] benchmark.Twitter	590MB/49.1GB (1.2%)
2021-10-19T12:28:37.084+0000	[........................] benchmark.Twitter	666MB/49.1GB (1.3%)
2021-10-19T12:28:40.084+0000	[........................] benchmark.Twitter	740MB/49.1GB (1.5%)
2021-10-19T12:28:43.084+0000	[........................] benchmark.Twitter	815MB/49.1GB (1.6%)
2021-10-19T12:28:46.084+0000	[........................] benchmark.Twitter	889MB/49.1GB (1.8%)
2021-10-19T12:28:49.084+0000	[........................] benchmark.Twitter	966MB/49.1GB (1.9%)
2021-10-19T12:28:52.084+0000	[........................] benchmark.Twitter	1.02GB/49.1GB (2.1%)
2021-10-19T12:28:55.084+0000	[........................] benchmark.Twitter	1.09GB/49.1GB (2.2%)
2021-10-19T12:28:58.084+0000	[........................] benchmark.Twitter	1.16GB/49.1GB (2.4%)
2021-10-19T12:29:01.084+0000	[........................] benchmark.Twitter	1.24GB/49.1GB (2.5%)
2021-10-19T12:29:04.084+0000	[........................] benchmark.Twitter	1.31GB/49.1GB (2.7%)
2021-10-19T12:29:07.084+0000	[........................] benchmark.Twitter	1.38GB/49.1GB (2.8%)
2021-10-19T12:29:10.084+0000	[........................] benchmark.Twitter	1.46GB/49.1GB (3.0%)
2021-10-19T12:29:13.084+0000	[........................] benchmark.Twitter	1.53GB/49.1GB (3.1%)
2021-10-19T12:29:16.084+0000	[........................] benchmark.Twitter	1.60GB/49.1GB (3.3%)
2021-10-19T12:29:19.084+0000	[........................] benchmark.Twitter	1.67GB/49.1GB (3.4%)
2021-10-19T12:29:22.084+0000	[........................] benchmark.Twitter	1.75GB/49.1GB (3.6%)
2021-10-19T12:29:25.084+0000	[........................] benchmark.Twitter	1.82GB/49.1GB (3.7%)
2021-10-19T12:29:28.084+0000	[........................] benchmark.Twitter	1.89GB/49.1GB (3.9%)
2021-10-19T12:29:31.084+0000	[........................] benchmark.Twitter	1.97GB/49.1GB (4.0%)
2021-10-19T12:29:34.084+0000	[........................] benchmark.Twitter	2.04GB/49.1GB (4.1%)
2021-10-19T12:29:37.084+0000	[#.......................] benchmark.Twitter	2.10GB/49.1GB (4.3%)
2021-10-19T12:29:40.084+0000	[#.......................] benchmark.Twitter	2.16GB/49.1GB (4.4%)
2021-10-19T12:29:43.084+0000	[#.......................] benchmark.Twitter	2.22GB/49.1GB (4.5%)
2021-10-19T12:29:46.084+0000	[#.......................] benchmark.Twitter	2.29GB/49.1GB (4.7%)
2021-10-19T12:29:49.084+0000	[#.......................] benchmark.Twitter	2.36GB/49.1GB (4.8%)
2021-10-19T12:29:52.084+0000	[#.......................] benchmark.Twitter	2.43GB/49.1GB (4.9%)
2021-10-19T12:29:55.084+0000	[#.......................] benchmark.Twitter	2.50GB/49.1GB (5.1%)
2021-10-19T12:29:58.084+0000	[#.......................] benchmark.Twitter	2.58GB/49.1GB (5.2%)
2021-10-19T12:30:01.084+0000	[#.......................] benchmark.Twitter	2.65GB/49.1GB (5.4%)
2021-10-19T12:30:04.084+0000	[#.......................] benchmark.Twitter	2.72GB/49.1GB (5.5%)
2021-10-19T12:30:07.085+0000	[#.......................] benchmark.Twitter	2.80GB/49.1GB (5.7%)
2021-10-19T12:30:10.084+0000	[#.......................] benchmark.Twitter	2.87GB/49.1GB (5.8%)
2021-10-19T12:30:13.084+0000	[#.......................] benchmark.Twitter	2.95GB/49.1GB (6.0%)
2021-10-19T12:30:16.085+0000	[#.......................] benchmark.Twitter	3.02GB/49.1GB (6.1%)
2021-10-19T12:30:19.084+0000	[#.......................] benchmark.Twitter	3.09GB/49.1GB (6.3%)
2021-10-19T12:30:22.084+0000	[#.......................] benchmark.Twitter	3.17GB/49.1GB (6.4%)
2021-10-19T12:30:25.084+0000	[#.......................] benchmark.Twitter	3.24GB/49.1GB (6.6%)
2021-10-19T12:30:28.084+0000	[#.......................] benchmark.Twitter	3.32GB/49.1GB (6.8%)
2021-10-19T12:30:31.085+0000	[#.......................] benchmark.Twitter	3.39GB/49.1GB (6.9%)
2021-10-19T12:30:34.085+0000	[#.......................] benchmark.Twitter	3.47GB/49.1GB (7.1%)
2021-10-19T12:30:37.084+0000	[#.......................] benchmark.Twitter	3.54GB/49.1GB (7.2%)
2021-10-19T12:30:40.084+0000	[#.......................] benchmark.Twitter	3.62GB/49.1GB (7.4%)
2021-10-19T12:30:43.084+0000	[#.......................] benchmark.Twitter	3.69GB/49.1GB (7.5%)
2021-10-19T12:30:46.084+0000	[#.......................] benchmark.Twitter	3.76GB/49.1GB (7.7%)
2021-10-19T12:30:49.084+0000	[#.......................] benchmark.Twitter	3.84GB/49.1GB (7.8%)
2021-10-19T12:30:52.085+0000	[#.......................] benchmark.Twitter	3.91GB/49.1GB (8.0%)
2021-10-19T12:30:55.084+0000	[#.......................] benchmark.Twitter	3.99GB/49.1GB (8.1%)
2021-10-19T12:30:58.084+0000	[#.......................] benchmark.Twitter	4.07GB/49.1GB (8.3%)
2021-10-19T12:31:01.084+0000	[##......................] benchmark.Twitter	4.14GB/49.1GB (8.4%)
2021-10-19T12:31:04.084+0000	[##......................] benchmark.Twitter	4.22GB/49.1GB (8.6%)
2021-10-19T12:31:07.084+0000	[##......................] benchmark.Twitter	4.29GB/49.1GB (8.7%)
2021-10-19T12:31:10.084+0000	[##......................] benchmark.Twitter	4.36GB/49.1GB (8.9%)
2021-10-19T12:31:13.084+0000	[##......................] benchmark.Twitter	4.44GB/49.1GB (9.0%)
2021-10-19T12:31:16.084+0000	[##......................] benchmark.Twitter	4.51GB/49.1GB (9.2%)
2021-10-19T12:31:19.085+0000	[##......................] benchmark.Twitter	4.58GB/49.1GB (9.3%)
2021-10-19T12:31:22.084+0000	[##......................] benchmark.Twitter	4.66GB/49.1GB (9.5%)
2021-10-19T12:31:25.084+0000	[##......................] benchmark.Twitter	4.73GB/49.1GB (9.6%)
2021-10-19T12:31:28.084+0000	[##......................] benchmark.Twitter	4.80GB/49.1GB (9.8%)
